Country,Year,Subject Area,Percentage
Burkina Faso,2024,Agricultural and Biological Sciences,10.53
Burundi,2018,Agricultural and Biological Sciences,17.28
Burundi,2019,Agricultural and Biological Sciences,8.42
Burundi,2020,Agricultural and Biological Sciences,10.55
Burundi,2021,Agricultural and Biological Sciences,9.86
Burundi,2022,Agricultural and Biological Sciences,7.79
Burundi,2023,Agricultural and Biological Sciences,12.93
Burundi,2024,Agricultural and Biological Sciences,7.09
Cambodia,2018,Agricultural and Biological Sciences,11.16
Cambodia,2019,Agricultural and Biological Sciences,10.65
Cambodia,2020,Agricultural and Biological Sciences,11.2
Cambodia,2021,Agricultural and Biological Sciences,9.82
Cambodia,2022,Agricultural and Biological Sciences,7.12
Cambodia,2023,Agricultural and Biological Sciences,7.17
Cambodia,2024,Agricultural and Biological Sciences,8.12
Cameroon,2018,Agricultural and Biological Sciences,9.75
Cameroon,2019,Agricultural and Biological Sciences,9.99
Cameroon,2020,Agricultural and Biological Sciences,9.14
Cameroon,2021,Agricultural and Biological Sciences,8.51
Cameroon,2022,Agricultural and Biological Sciences,8.15
Cameroon,2023,Agricultural and Biological Sciences,8.87
Cameroon,2024,Agricultural and Biological Sciences,9.24
Canada,2018,Agricultural and Biological Sciences,0.0
Canada,2019,Agricultural and Biological Sciences,0.0
Canada,2020,Agricultural and Biological Sciences,0.0
Canada,2021,Agricultural and Biological Sciences,0.0
Canada,2022,Agricultural and Biological Sciences,0.0
Canada,2023,Agricultural and Biological Sciences,0.0
Canada,2024,Agricultural and Biological Sciences,0.0
Cape Verde,2018,Agricultural and Biological Sciences,12.86
Cape Verde,2019,Agricultural and Biological Sciences,8.89
Cape Verde,2020,Agricultural and Biological Sciences,17.21
Cape Verde,2021,Agricultural and Biological Sciences,12.9
Cape Verde,2022,Agricultural and Biological Sciences,14.44
Cape Verde,2023,Agricultural and Biological Sciences,16.22
Cape Verde,2024,Agricultural and Biological Sciences,17.61
Central African Republic,2018,Agricultural and Biological Sciences,12.5
Central African Republic,2019,Agricultural and Biological Sciences,6.67
Central African Republic,2020,Agricultural and Biological Sciences,9.85
Central African Republic,2021,Agricultural and Biological Sciences,11.51
Central African Republic,2022,Agricultural and Biological Sciences,7.14
Central African Republic,2023,Agricultural and Biological Sciences,2.33
Central African Republic,2024,Agricultural and Biological Sciences,4.92
Chad,2018,Agricultural and Biological Sciences,6.74
Chad,2019,Agricultural and Biological Sciences,10.07
Chad,2020,Agricultural and Biological Sciences,8.82
Chad,2021,Agricultural and Biological Sciences,9.36
Chad,2022,Agricultural and Biological Sciences,9.32
Chad,2023,Agricultural and Biological Sciences,10.07
Chad,2024,Agricultural and Biological Sciences,7.99
Chile,2018,Agricultural and Biological Sciences,0.0
Chile,2019,Agricultural and Biological Sciences,0.0
Chile,2020,Agricultural and Biological Sciences,0.0
Chile,2021,Agricultural and Biological Sciences,0.0
Chile,2022,Agricultural and Biological Sciences,0.0
Chile,2023,Agricultural and Biological Sciences,0.0
Chile,2024,Agricultural and Biological Sciences,0.0
China,2018,Agricultural and Biological Sciences,0.0
China,2019,Agricultural and Biological Sciences,0.0
China,2020,Agricultural and Biological Sciences,
China,2021,Agricultural and Biological Sciences,
China,2022,Agricultural and Biological Sciences,
China,2023,Agricultural and Biological Sciences,
China,2024,Agricultural and Biological Sciences,
Colombia,2018,Agricultural and Biological Sciences,0.0
Colombia,2019,Agricultural and Biological Sciences,0.0
Colombia,2020,Agricultural and Biological Sciences,0.0
Colombia,2021,Agricultural and Biological Sciences,0.0
Colombia,2022,Agricultural and Biological Sciences,0.0
Colombia,2023,Agricultural and Biological Sciences,0.0
Colombia,2024,Agricultural and Biological Sciences,0.0
Congo,2018,Agricultural and Biological Sciences,12.37
Congo,2019,Agricultural and Biological Sciences,11.5
Congo,2020,Agricultural and Biological Sciences,11.1
Congo,2021,Agricultural and Biological Sciences,9.99
Congo,2022,Agricultural and Biological Sciences,8.75
Congo,2023,Agricultural and Biological Sciences,9.4
Congo,2024,Agricultural and Biological Sciences,7.95
Costa Rica,2018,Agricultural and Biological Sciences,17.49
Costa Rica,2019,Agricultural and Biological Sciences,16.01
Costa Rica,2020,Agricultural and Biological Sciences,16.66
Costa Rica,2021,Agricultural and Biological Sciences,17.35
Costa Rica,2022,Agricultural and Biological Sciences,14.81
Costa Rica,2023,Agricultural and Biological Sciences,15.89
Costa Rica,2024,Agricultural and Biological Sciences,14.52
Cote d'Ivoire,2018,Agricultural and Biological Sciences,0.0
Cote d'Ivoire,2019,Agricultural and Biological Sciences,14.83
Cote d'Ivoire,2020,Agricultural and Biological Sciences,14.38
Cote d'Ivoire,2021,Agricultural and Biological Sciences,13.48
Cote d'Ivoire,2022,Agricultural and Biological Sciences,14.76
Cote d'Ivoire,2023,Agricultural and Biological Sciences,13.3
Cote d'Ivoire,2024,Agricultural and Biological Sciences,13.59
Croatia,2018,Agricultural and Biological Sciences,8.28
Croatia,2019,Agricultural and Biological Sciences,8.96
Croatia,2020,Agricultural and Biological Sciences,10.86
Croatia,2021,Agricultural and Biological Sciences,0.0
Croatia,2022,Agricultural and Biological Sciences,0.0
Croatia,2023,Agricultural and Biological Sciences,11.95
Croatia,2024,Agricultural and Biological Sciences,8.65
Cuba,2018,Agricultural and Biological Sciences,7.26
Cuba,2019,Agricultural and Biological Sciences,8.83
Cuba,2020,Agricultural and Biological Sciences,9.37
Cuba,2021,Agricultural and Biological Sciences,8.09
Cuba,2022,Agricultural and Biological Sciences,7.2
Cuba,2023,Agricultural and Biological Sciences,6.86
Cuba,2024,Agricultural and Biological Sciences,7.46
Cyprus,2018,Agricultural and Biological Sciences,3.25
Cyprus,2019,Agricultural and Biological Sciences,3.45
Cyprus,2020,Agricultural and Biological Sciences,3.92
Cyprus,2021,Agricultural and Biological Sciences,4.04
Cyprus,2022,Agricultural and Biological Sciences,3.98
Cyprus,2023,Agricultural and Biological Sciences,4.33
Cyprus,2024,Agricultural and Biological Sciences,3.76
Czech Republic,2018,Agricultural and Biological Sciences,0.0
Czech Republic,2019,Agricultural and Biological Sciences,0.0
Czech Republic,2020,Agricultural and Biological Sciences,0.0
Czech Republic,2021,Agricultural and Biological Sciences,0.0
Czech Republic,2022,Agricultural and Biological Sciences,0.0
Czech Republic,2023,Agricultural and Biological Sciences,0.0
Czech Republic,2024,Agricultural and Biological Sciences,0.0
Democratic Republic Congo,2018,Agricultural and Biological Sciences,15.51
Democratic Republic Congo,2019,Agricultural and Biological Sciences,10.76
Democratic Republic Congo,2020,Agricultural and Biological Sciences,12.43
Democratic Republic Congo,2021,Agricultural and Biological Sciences,10.31
Democratic Republic Congo,2022,Agricultural and Biological Sciences,10.03
Democratic Republic Congo,2023,Agricultural and Biological Sciences,10.82
Democratic Republic Congo,2024,Agricultural and Biological Sciences,9.0
Denmark,2018,Agricultural and Biological Sciences,0.0
Denmark,2019,Agricultural and Biological Sciences,0.0
Denmark,2020,Agricultural and Biological Sciences,0.0
Denmark,2021,Agricultural and Biological Sciences,0.0
Denmark,2022,Agricultural and Biological Sciences,0.0
Denmark,2023,Agricultural and Biological Sciences,0.0
Denmark,2024,Agricultural and Biological Sciences,0.0
Dominican Republic,2018,Agricultural and Biological Sciences,7.42
Dominican Republic,2019,Agricultural and Biological Sciences,7.88
Dominican Republic,2020,Agricultural and Biological Sciences,7.78
Dominican Republic,2021,Agricultural and Biological Sciences,6.26
Dominican Republic,2022,Agricultural and Biological Sciences,6.81
Dominican Republic,2023,Agricultural and Biological Sciences,5.25
Dominican Republic,2024,Agricultural and Biological Sciences,5.68
Ecuador,2018,Agricultural and Biological Sciences,10.1
Ecuador,2019,Agricultural and Biological Sciences,10.46
Ecuador,2020,Agricultural and Biological Sciences,13.87
Ecuador,2021,Agricultural and Biological Sciences,12.88
Ecuador,2022,Agricultural and Biological Sciences,12.15
Ecuador,2023,Agricultural and Biological Sciences,11.7
Ecuador,2024,Agricultural and Biological Sciences,13.11
Egypt,2018,Agricultural and Biological Sciences,0.0
Egypt,2019,Agricultural and Biological Sciences,0.0
Egypt,2020,Agricultural and Biological Sciences,0.0
Egypt,2021,Agricultural and Biological Sciences,0.0
Egypt,2022,Agricultural and Biological Sciences,0.0
Egypt,2023,Agricultural and Biological Sciences,0.0
Egypt,2024,Agricultural and Biological Sciences,0.0
El Salvador,2018,Agricultural and Biological Sciences,7.79
El Salvador,2019,Agricultural and Biological Sciences,8.24
El Salvador,2020,Agricultural and Biological Sciences,7.2
El Salvador,2021,Agricultural and Biological Sciences,4.44
El Salvador,2022,Agricultural and Biological Sciences,6.61
El Salvador,2023,Agricultural and Biological Sciences,7.69
El Salvador,2024,Agricultural and Biological Sciences,6.69
Eritrea,2018,Agricultural and Biological Sciences,11.49
Eritrea,2019,Agricultural and Biological Sciences,9.52
Eritrea,2020,Agricultural and Biological Sciences,10.16
Eritrea,2021,Agricultural and Biological Sciences,5.84
Eritrea,2022,Agricultural and Biological Sciences,9.2
Eritrea,2023,Agricultural and Biological Sciences,10.81
Eritrea,2024,Agricultural and Biological Sciences,9.62
Estonia,2018,Agricultural and Biological Sciences,7.56
Estonia,2019,Agricultural and Biological Sciences,6.56
Estonia,2020,Agricultural and Biological Sciences,6.69
Estonia,2021,Agricultural and Biological Sciences,7.69
Estonia,2022,Agricultural and Biological Sciences,5.7
Estonia,2023,Agricultural and Biological Sciences,6.73
Estonia,2024,Agricultural and Biological Sciences,6.39
Ethiopia,2018,Agricultural and Biological Sciences,16.28
Ethiopia,2019,Agricultural and Biological Sciences,13.55
Ethiopia,2020,Agricultural and Biological Sciences,0.0
Ethiopia,2021,Agricultural and Biological Sciences,0.0
Ethiopia,2022,Agricultural and Biological Sciences,0.0
Ethiopia,2023,Agricultural and Biological Sciences,0.0
Ethiopia,2024,Agricultural and Biological Sciences,0.0
Federated States of Micronesia,2018,Agricultural and Biological Sciences,11.11
Federated States of Micronesia,2019,Agricultural and Biological Sciences,20.59
Federated States of Micronesia,2020,Agricultural and Biological Sciences,15.56
Federated States of Micronesia,2021,Agricultural and Biological Sciences,6.45
Federated States of Micronesia,2022,Agricultural and Biological Sciences,21.43
Federated States of Micronesia,2023,Agricultural and Biological Sciences,20.0
Federated States of Micronesia,2024,Agricultural and Biological Sciences,23.33
Fiji,2018,Agricultural and Biological Sciences,9.41
Fiji,2019,Agricultural and Biological Sciences,9.87
Fiji,2020,Agricultural and Biological Sciences,10.02
Fiji,2021,Agricultural and Biological Sciences,9.81
Fiji,2022,Agricultural and Biological Sciences,8.43
Fiji,2023,Agricultural and Biological Sciences,9.54
Fiji,2024,Agricultural and Biological Sciences,8.94
Finland,2018,Agricultural and Biological Sciences,0.0
Finland,2019,Agricultural and Biological Sciences,0.0
Finland,2020,Agricultural and Biological Sciences,0.0
Finland,2021,Agricultural and Biological Sciences,0.0
Finland,2022,Agricultural and Biological Sciences,0.0
Finland,2023,Agricultural and Biological Sciences,0.0
Finland,2024,Agricultural and Biological Sciences,0.0
France,2018,Agricultural and Biological Sciences,0.0
France,2019,Agricultural and Biological Sciences,0.0
France,2020,Agricultural and Biological Sciences,0.0
France,2021,Agricultural and Biological Sciences,0.0
France,2022,Agricultural and Biological Sciences,0.0
France,2023,Agricultural and Biological Sciences,0.0
France,2024,Agricultural and Biological Sciences,0.0
French Guiana,2018,Agricultural and Biological Sciences,19.77
French Guiana,2019,Agricultural and Biological Sciences,17.03
French Guiana,2020,Agricultural and Biological Sciences,14.12
French Guiana,2021,Agricultural and Biological Sciences,19.23
French Guiana,2022,Agricultural and Biological Sciences,18.33
French Guiana,2023,Agricultural and Biological Sciences,13.49
French Guiana,2024,Agricultural and Biological Sciences,12.86
Gabon,2018,Agricultural and Biological Sciences,18.04
Gabon,2019,Agricultural and Biological Sciences,14.65
Gabon,2020,Agricultural and Biological Sciences,12.23
Gabon,2021,Agricultural and Biological Sciences,11.11
Gabon,2022,Agricultural and Biological Sciences,8.9
Gabon,2023,Agricultural and Biological Sciences,10.46
Gabon,2024,Agricultural and Biological Sciences,11.17
Gambia,2018,Agricultural and Biological Sciences,4.38
Gambia,2019,Agricultural and Biological Sciences,8.12
Gambia,2020,Agricultural and Biological Sciences,7.53
Gambia,2021,Agricultural and Biological Sciences,8.86
Gambia,2022,Agricultural and Biological Sciences,4.71
Gambia,2023,Agricultural and Biological Sciences,3.24
Gambia,2024,Agricultural and Biological Sciences,4.82
Georgia,2018,Agricultural and Biological Sciences,4.0
Georgia,2019,Agricultural and Biological Sciences,3.65
Georgia,2020,Agricultural and Biological Sciences,4.61
Georgia,2021,Agricultural and Biological Sciences,4.38
Georgia,2022,Agricultural and Biological Sciences,4.6
Georgia,2023,Agricultural and Biological Sciences,4.9
Georgia,2024,Agricultural and Biological Sciences,4.78
Germany,2018,Agricultural and Biological Sciences,0.0
Germany,2019,Agricultural and Biological Sciences,0.0
Germany,2020,Agricultural and Biological Sciences,0.0
Germany,2021,Agricultural and Biological Sciences,0.0
Germany,2022,Agricultural and Biological Sciences,0.0
Germany,2023,Agricultural and Biological Sciences,0.0
Germany,2024,Agricultural and Biological Sciences,0.0
Ghana,2018,Agricultural and Biological Sciences,10.94
Ghana,2019,Agricultural and Biological Sciences,9.8
Ghana,2020,Agricultural and Biological Sciences,12.28
Ghana,2021,Agricultural and Biological Sciences,11.13
Ghana,2022,Agricultural and Biological Sciences,10.31
Ghana,2023,Agricultural and Biological Sciences,10.12
Ghana,2024,Agricultural and Biological Sciences,9.86
Greece,2018,Agricultural and Biological Sciences,0.0
Greece,2019,Agricultural and Biological Sciences,0.0
Greece,2020,Agricultural and Biological Sciences,0.0
Greece,2021,Agricultural and Biological Sciences,0.0
Greece,2022,Agricultural and Biological Sciences,0.0
Greece,2023,Agricultural and Biological Sciences,0.0
Greece,2024,Agricultural and Biological Sciences,0.0
Guatemala,2018,Agricultural and Biological Sciences,9.72
Guatemala,2019,Agricultural and Biological Sciences,10.11
Guatemala,2020,Agricultural and Biological Sciences,9.86
Guatemala,2021,Agricultural and Biological Sciences,9.61
Guatemala,2022,Agricultural and Biological Sciences,8.24
Guatemala,2023,Agricultural and Biological Sciences,9.1
Guatemala,2024,Agricultural and Biological Sciences,9.57
Guinea,2018,Agricultural and Biological Sciences,12.24
Guinea,2019,Agricultural and Biological Sciences,10.67
Guinea,2020,Agricultural and Biological Sciences,10.56
Guinea,2021,Agricultural and Biological Sciences,9.39
Guinea,2022,Agricultural and Biological Sciences,10.13
Guinea,2023,Agricultural and Biological Sciences,9.37
Guinea,2024,Agricultural and Biological Sciences,10.94
Guinea-Bissau,2018,Agricultural and Biological Sciences,9.26
Guinea-Bissau,2019,Agricultural and Biological Sciences,6.86
Guinea-Bissau,2020,Agricultural and Biological Sciences,2.78
Guinea-Bissau,2021,Agricultural and Biological Sciences,8.7
Guinea-Bissau,2022,Agricultural and Biological Sciences,6.96
Guinea-Bissau,2023,Agricultural and Biological Sciences,12.12
Guinea-Bissau,2024,Agricultural and Biological Sciences,18.68
Guyana,2018,Agricultural and Biological Sciences,10.92
Guyana,2019,Agricultural and Biological Sciences,11.76
Guyana,2020,Agricultural and Biological Sciences,10.4
Guyana,2021,Agricultural and Biological Sciences,9.44
Guyana,2022,Agricultural and Biological Sciences,12.87
Guyana,2023,Agricultural and Biological Sciences,8.9
Guyana,2024,Agricultural and Biological Sciences,11.55
Haiti,2018,Agricultural and Biological Sciences,3.18
Haiti,2019,Agricultural and Biological Sciences,2.82
Haiti,2020,Agricultural and Biological Sciences,3.95
Haiti,2021,Agricultural and Biological Sciences,5.44
Haiti,2022,Agricultural and Biological Sciences,3.79
Haiti,2023,Agricultural and Biological Sciences,7.06
Haiti,2024,Agricultural and Biological Sciences,6.28
Honduras,2018,Agricultural and Biological Sciences,10.33
Honduras,2019,Agricultural and Biological Sciences,13.74
Honduras,2020,Agricultural and Biological Sciences,10.22
Honduras,2021,Agricultural and Biological Sciences,11.69
Honduras,2022,Agricultural and Biological Sciences,8.27
Honduras,2023,Agricultural and Biological Sciences,6.96
Honduras,2024,Agricultural and Biological Sciences,8.75
Hong Kong,2018,Agricultural and Biological Sciences,12.04
Hong Kong,2019,Agricultural and Biological Sciences,11.58
Hong Kong,2020,Agricultural and Biological Sciences,12.74
Hong Kong,2021,Agricultural and Biological Sciences,15.35
Hong Kong,2022,Agricultural and Biological Sciences,0.0
Hong Kong,2023,Agricultural and Biological Sciences,0.0
Hong Kong,2024,Agricultural and Biological Sciences,0.0
Hungary,2018,Agricultural and Biological Sciences,0.0
Hungary,2019,Agricultural and Biological Sciences,0.0
Hungary,2020,Agricultural and Biological Sciences,0.0
Hungary,2021,Agricultural and Biological Sciences,0.0
Hungary,2022,Agricultural and Biological Sciences,0.0
Hungary,2023,Agricultural and Biological Sciences,0.0
Hungary,2024,Agricultural and Biological Sciences,0.0
Iceland,2018,Agricultural and Biological Sciences,5.78
Iceland,2019,Agricultural and Biological Sciences,7.31
Iceland,2020,Agricultural and Biological Sciences,6.27
Iceland,2021,Agricultural and Biological Sciences,6.51
Iceland,2022,Agricultural and Biological Sciences,6.84
Iceland,2023,Agricultural and Biological Sciences,6.29
Iceland,2024,Agricultural and Biological Sciences,6.43
India,2018,Agricultural and Biological Sciences,0.0
India,2019,Agricultural and Biological Sciences,0.0
India,2020,Agricultural and Biological Sciences,
India,2022,Agricultural and Biological Sciences,
India,2023,Agricultural and Biological Sciences,
India,2024,Agricultural and Biological Sciences,
Indonesia,2018,Agricultural and Biological Sciences,0.0
Indonesia,2019,Agricultural and Biological Sciences,0.0
Indonesia,2020,Agricultural and Biological Sciences,0.0
Indonesia,2021,Agricultural and Biological Sciences,0.0
Indonesia,2022,Agricultural and Biological Sciences,0.0
Indonesia,2023,Agricultural and Biological Sciences,0.0
Indonesia,2024,Agricultural and Biological Sciences,0.0
Iran,2018,Agricultural and Biological Sciences,0.0
Iran,2019,Agricultural and Biological Sciences,0.0
Iran,2020,Agricultural and Biological Sciences,0.0
Iran,2021,Agricultural and Biological Sciences,0.0
Iran,2022,Agricultural and Biological Sciences,0.0
Iran,2023,Agricultural and Biological Sciences,0.0
Iran,2024,Agricultural and Biological Sciences,0.0
Iraq,2018,Agricultural and Biological Sciences,15.98
Iraq,2019,Agricultural and Biological Sciences,0.0
Iraq,2020,Agricultural and Biological Sciences,0.0
Iraq,2021,Agricultural and Biological Sciences,0.0
Iraq,2022,Agricultural and Biological Sciences,0.0
Iraq,2023,Agricultural and Biological Sciences,0.0
Iraq,2024,Agricultural and Biological Sciences,0.0
Ireland,2018,Agricultural and Biological Sciences,0.0
Ireland,2019,Agricultural and Biological Sciences,0.0
Ireland,2020,Agricultural and Biological Sciences,0.0
Ireland,2021,Agricultural and Biological Sciences,0.0
Ireland,2022,Agricultural and Biological Sciences,0.0
Ireland,2023,Agricultural and Biological Sciences,0.0
Ireland,2024,Agricultural and Biological Sciences,0.0
