Subject,Identifier,EID,Title,Publication Name,Publication Date,DOI,Cited By Count,Affiliation Country,Year
AGRI,SCOPUS_ID:85075143376,2-s2.0-85075143376,"Molecular phylogeny places the enigmatic subfamily Masoninae within the Ichneumonidae, not the Braconidae",Zoologica Scripta,2020-01-01T00:00:00.000Z,10.1111/zsc.12390,6,Australia,2020
AGRI,SCOPUS_ID:85075143376,2-s2.0-85075143376,"Molecular phylogeny places the enigmatic subfamily Masoninae within the Ichneumonidae, not the Braconidae",Zoologica Scripta,2020-01-01T00:00:00.000Z,10.1111/zsc.12390,6,Canada,2020
AGRI,SCOPUS_ID:85075143376,2-s2.0-85075143376,"Molecular phylogeny places the enigmatic subfamily Masoninae within the Ichneumonidae, not the Braconidae",Zoologica Scripta,2020-01-01T00:00:00.000Z,10.1111/zsc.12390,6,Thailand,2020
AGRI,SCOPUS_ID:85075425267,2-s2.0-85075425267,Dissolvable and edible film for long-lasting kaffir lime aroma in food,International Journal of Food Science and Technology,2020-04-01T00:00:00.000Z,10.1111/ijfs.14426,1,Thailand,2020
AGRI,SCOPUS_ID:85075586789,2-s2.0-85075586789,A consumer-oriented segmentation study on edible insects in Switzerland and Thailand,British Food Journal,2020-01-09T00:00:00.000Z,10.1108/BFJ-08-2018-0526,20,Switzerland,2020
AGRI,SCOPUS_ID:85075586789,2-s2.0-85075586789,A consumer-oriented segmentation study on edible insects in Switzerland and Thailand,British Food Journal,2020-01-09T00:00:00.000Z,10.1108/BFJ-08-2018-0526,20,Thailand,2020
AGRI,SCOPUS_ID:85075752643,2-s2.0-85075752643,"Effect of gac fruit (Momordica cochinchinensis) powder on in vitro starch digestibility, nutritional quality, textural and sensory characteristics of pasta",LWT,2020-01-01T00:00:00.000Z,10.1016/j.lwt.2019.108856,28,Thailand,2020
AGRI,SCOPUS_ID:85076849774,2-s2.0-85076849774,Novel paper-based colorimetric immunoassay (PCI) for sensitive and specific detection of salbutamol residues in flesh of swine and urine using Ag3PO4/Ag nanocomposite as label,Journal of Food Science,2020-01-01T00:00:00.000Z,10.1111/1750-3841.14974,6,Thailand,2020
AGRI,SCOPUS_ID:85076978074,2-s2.0-85076978074,Development of a species-specific polymerase chain reaction for highly sensitive detection of Flavobacterium columnare targeting chondroitin AC lyase gene,Aquaculture,2020-05-15T00:00:00.000Z,10.1016/j.aquaculture.2019.734597,11,Egypt,2020
AGRI,SCOPUS_ID:85076978074,2-s2.0-85076978074,Development of a species-specific polymerase chain reaction for highly sensitive detection of Flavobacterium columnare targeting chondroitin AC lyase gene,Aquaculture,2020-05-15T00:00:00.000Z,10.1016/j.aquaculture.2019.734597,11,Thailand,2020
AGRI,SCOPUS_ID:85076978074,2-s2.0-85076978074,Development of a species-specific polymerase chain reaction for highly sensitive detection of Flavobacterium columnare targeting chondroitin AC lyase gene,Aquaculture,2020-05-15T00:00:00.000Z,10.1016/j.aquaculture.2019.734597,11,United States,2020
AGRI,SCOPUS_ID:85077182937,2-s2.0-85077182937,Use of an internal fibrous biofilter for intermittent nitrification and denitrification treatments in a zero-discharge shrimp culture tank,Aquacultural Engineering,2020-02-01T00:00:00.000Z,10.1016/j.aquaeng.2019.102041,26,Japan,2020
AGRI,SCOPUS_ID:85077182937,2-s2.0-85077182937,Use of an internal fibrous biofilter for intermittent nitrification and denitrification treatments in a zero-discharge shrimp culture tank,Aquacultural Engineering,2020-02-01T00:00:00.000Z,10.1016/j.aquaeng.2019.102041,26,Thailand,2020
AGRI,SCOPUS_ID:85077278017,2-s2.0-85077278017,"Correction to: Optimizing Pueraria candollei var. mirifica cell suspension culture for prolonged maintenance and decreased variation of isoflavonoid from single cell lines (Plant Cell, Tissue and Organ Culture (PCTOC), (2018), 134, 3, (433-443), 10.1007/s11240-018-1433-6)","Plant Cell, Tissue and Organ Culture",2020-02-01T00:00:00.000Z,10.1007/s11240-019-01750-z,0,Thailand,2020
AGRI,SCOPUS_ID:85077401529,2-s2.0-85077401529,Postmarket laboratory surveillance for forbidden substances in halal-certified foods in Thailand,Journal of Food Protection,2020-01-01T00:00:00.000Z,10.4315/0362-028X.JFP-19-051,6,Thailand,2020
AGRI,SCOPUS_ID:85078260806,2-s2.0-85078260806,Evolutionary relationships of the ancient fern lineage the adder's tongues (Ophioglossaceae) with description of Sahashia gen. nov,Cladistics,2020-08-01T00:00:00.000Z,10.1111/cla.12408,13,China,2020
AGRI,SCOPUS_ID:85078260806,2-s2.0-85078260806,Evolutionary relationships of the ancient fern lineage the adder's tongues (Ophioglossaceae) with description of Sahashia gen. nov,Cladistics,2020-08-01T00:00:00.000Z,10.1111/cla.12408,13,Germany,2020
AGRI,SCOPUS_ID:85078260806,2-s2.0-85078260806,Evolutionary relationships of the ancient fern lineage the adder's tongues (Ophioglossaceae) with description of Sahashia gen. nov,Cladistics,2020-08-01T00:00:00.000Z,10.1111/cla.12408,13,Thailand,2020
AGRI,SCOPUS_ID:85078260806,2-s2.0-85078260806,Evolutionary relationships of the ancient fern lineage the adder's tongues (Ophioglossaceae) with description of Sahashia gen. nov,Cladistics,2020-08-01T00:00:00.000Z,10.1111/cla.12408,13,United States,2020
AGRI,SCOPUS_ID:85078260806,2-s2.0-85078260806,Evolutionary relationships of the ancient fern lineage the adder's tongues (Ophioglossaceae) with description of Sahashia gen. nov,Cladistics,2020-08-01T00:00:00.000Z,10.1111/cla.12408,13,Viet Nam,2020
AGRI,SCOPUS_ID:85078266971,2-s2.0-85078266971,"Discussion of \"using a Pressurized Shield to Increase Face Stability of Circular Tunnels in Purely Cohesive Soil\" by Wantao Ding, Shucai Li, Keqi Liu, Jian Zhu, Mingjiang Li, and Peihe Shi",International Journal of Geomechanics,2020-03-01T00:00:00.000Z,10.1061/(ASCE)GM.1943-5622.0001611,0,Thailand,2020
AGRI,SCOPUS_ID:85078338802,2-s2.0-85078338802,The apoptotic and free radical–scavenging abilities of the protein hydrolysate obtained from chicken feather meal,Poultry Science,2020-03-01T00:00:00.000Z,10.1016/j.psj.2019.10.050,10,Thailand,2020
AGRI,SCOPUS_ID:85078613648,2-s2.0-85078613648,Enhanced hydrogen production by Nostoc sp. CU2561 immobilized in a novel agar bead,Journal of Applied Phycology,2020-04-01T00:00:00.000Z,10.1007/s10811-019-02032-z,10,Thailand,2020
AGRI,SCOPUS_ID:85078683589,2-s2.0-85078683589,Anti-inflammatory action of two novel peptides derived from peanut worms (: Sipunculus nudus) in lipopolysaccharide-induced RAW264.7 macrophages,Food and Function,2020-01-01T00:00:00.000Z,10.1039/c9fo02178g,25,Thailand,2020
AGRI,SCOPUS_ID:85078760676,2-s2.0-85078760676,"Characterization of viral, bacterial, and parasitic causes of disease in small-scale chicken flocks in the Mekong Delta of Vietnam",Poultry Science,2020-02-01T00:00:00.000Z,10.1016/j.psj.2019.10.033,13,Czech Republic,2020
AGRI,SCOPUS_ID:85078760676,2-s2.0-85078760676,"Characterization of viral, bacterial, and parasitic causes of disease in small-scale chicken flocks in the Mekong Delta of Vietnam",Poultry Science,2020-02-01T00:00:00.000Z,10.1016/j.psj.2019.10.033,13,France,2020
AGRI,SCOPUS_ID:85078760676,2-s2.0-85078760676,"Characterization of viral, bacterial, and parasitic causes of disease in small-scale chicken flocks in the Mekong Delta of Vietnam",Poultry Science,2020-02-01T00:00:00.000Z,10.1016/j.psj.2019.10.033,13,Thailand,2020
AGRI,SCOPUS_ID:85078760676,2-s2.0-85078760676,"Characterization of viral, bacterial, and parasitic causes of disease in small-scale chicken flocks in the Mekong Delta of Vietnam",Poultry Science,2020-02-01T00:00:00.000Z,10.1016/j.psj.2019.10.033,13,United Kingdom,2020
AGRI,SCOPUS_ID:85078760676,2-s2.0-85078760676,"Characterization of viral, bacterial, and parasitic causes of disease in small-scale chicken flocks in the Mekong Delta of Vietnam",Poultry Science,2020-02-01T00:00:00.000Z,10.1016/j.psj.2019.10.033,13,Viet Nam,2020
AGRI,SCOPUS_ID:85078791345,2-s2.0-85078791345,"Microbial diversity during processing of Thai traditional fermented shrimp paste, determined by next generation sequencing",LWT,2020-03-01T00:00:00.000Z,10.1016/j.lwt.2019.108989,34,Japan,2020
AGRI,SCOPUS_ID:85078791345,2-s2.0-85078791345,"Microbial diversity during processing of Thai traditional fermented shrimp paste, determined by next generation sequencing",LWT,2020-03-01T00:00:00.000Z,10.1016/j.lwt.2019.108989,34,Thailand,2020
AGRI,SCOPUS_ID:85078870973,2-s2.0-85078870973,Enhanced H2 production with efficient N2-fixation by fructose mixotrophically grown Anabaena sp. PCC 7120 strain disrupted in uptake hydrogenase,Algal Research,2020-05-01T00:00:00.000Z,10.1016/j.algal.2020.101823,6,Sweden,2020
AGRI,SCOPUS_ID:85078870973,2-s2.0-85078870973,Enhanced H2 production with efficient N2-fixation by fructose mixotrophically grown Anabaena sp. PCC 7120 strain disrupted in uptake hydrogenase,Algal Research,2020-05-01T00:00:00.000Z,10.1016/j.algal.2020.101823,6,Thailand,2020
AGRI,SCOPUS_ID:85078913765,2-s2.0-85078913765,Select a protective agent for encapsulation of Lactobacillus plantarum,LWT,2020-04-01T00:00:00.000Z,10.1016/j.lwt.2020.109075,11,Thailand,2020
AGRI,SCOPUS_ID:85078921306,2-s2.0-85078921306,"Genetic characterization of infectious bronchitis viruses in Thailand, 2014–2016: identification of a novel recombinant variant",Poultry Science,2020-04-01T00:00:00.000Z,10.1016/j.psj.2019.11.044,4,Thailand,2020
AGRI,SCOPUS_ID:85079069689,2-s2.0-85079069689,Hydrophobic cellulose aerogel from waste napkin paper for oil sorption applications,Nordic Pulp and Paper Research Journal,2020-03-26T00:00:00.000Z,10.1515/npprj-2018-0075,20,Japan,2020
AGRI,SCOPUS_ID:85079069689,2-s2.0-85079069689,Hydrophobic cellulose aerogel from waste napkin paper for oil sorption applications,Nordic Pulp and Paper Research Journal,2020-03-26T00:00:00.000Z,10.1515/npprj-2018-0075,20,Thailand,2020
AGRI,SCOPUS_ID:85079074082,2-s2.0-85079074082,Cyanobacterial production of poly(3-hydroxybutyrate-co-3-hydroxyvalerate) from carbon dioxide or a single organic substrate: improved polymer elongation with an extremely high 3-hydroxyvalerate mole proportion,Journal of Applied Phycology,2020-04-01T00:00:00.000Z,10.1007/s10811-020-02040-4,20,Thailand,2020
AGRI,SCOPUS_ID:85079130561,2-s2.0-85079130561,Seed longevity of buchanania siamensis in reclaiming salt-affected areas in Thailand,Biodiversitas,2020-02-01T00:00:00.000Z,10.13057/biodiv/d210241,1,Thailand,2020
AGRI,SCOPUS_ID:85079163148,2-s2.0-85079163148,Revisiting nutrient cycling by litterfall—Insights from 15 years of litter manipulation in old-growth lowland tropical forest,Advances in Ecological Research,2020-01-01T00:00:00.000Z,10.1016/bs.aecr.2020.01.002,28,Belgium,2020
AGRI,SCOPUS_ID:85079163148,2-s2.0-85079163148,Revisiting nutrient cycling by litterfall—Insights from 15 years of litter manipulation in old-growth lowland tropical forest,Advances in Ecological Research,2020-01-01T00:00:00.000Z,10.1016/bs.aecr.2020.01.002,28,France,2020
AGRI,SCOPUS_ID:85079163148,2-s2.0-85079163148,Revisiting nutrient cycling by litterfall—Insights from 15 years of litter manipulation in old-growth lowland tropical forest,Advances in Ecological Research,2020-01-01T00:00:00.000Z,10.1016/bs.aecr.2020.01.002,28,Ireland,2020
AGRI,SCOPUS_ID:85079163148,2-s2.0-85079163148,Revisiting nutrient cycling by litterfall—Insights from 15 years of litter manipulation in old-growth lowland tropical forest,Advances in Ecological Research,2020-01-01T00:00:00.000Z,10.1016/bs.aecr.2020.01.002,28,Thailand,2020
AGRI,SCOPUS_ID:85079163148,2-s2.0-85079163148,Revisiting nutrient cycling by litterfall—Insights from 15 years of litter manipulation in old-growth lowland tropical forest,Advances in Ecological Research,2020-01-01T00:00:00.000Z,10.1016/bs.aecr.2020.01.002,28,United Kingdom,2020
AGRI,SCOPUS_ID:85079163148,2-s2.0-85079163148,Revisiting nutrient cycling by litterfall—Insights from 15 years of litter manipulation in old-growth lowland tropical forest,Advances in Ecological Research,2020-01-01T00:00:00.000Z,10.1016/bs.aecr.2020.01.002,28,United States,2020
AGRI,SCOPUS_ID:85079181019,2-s2.0-85079181019,"Suppression of white feces syndrome in Pacific white shrimp, Litopenaeus vannamei, using hen egg white lysozyme",Aquaculture,2020-05-15T00:00:00.000Z,10.1016/j.aquaculture.2020.735025,5,Thailand,2020
AGRI,SCOPUS_ID:85079485401,2-s2.0-85079485401,Antioxidant activities of mamao luang (Antidesma thwaitesianum Müll. Arg.) fruit: Extraction and application in raw chicken patties,Journal of Food Science,2020-03-01T00:00:00.000Z,10.1111/1750-3841.15035,7,Thailand,2020
AGRI,SCOPUS_ID:85079731281,2-s2.0-85079731281,"Recognition of the Trachypetidae stat.n. as a new extant family of Ichneumonoidea (Hymenoptera), based on molecular and morphological evidence",Systematic Entomology,2020-10-01T00:00:00.000Z,10.1111/syen.12426,13,Australia,2020
AGRI,SCOPUS_ID:85079731281,2-s2.0-85079731281,"Recognition of the Trachypetidae stat.n. as a new extant family of Ichneumonoidea (Hymenoptera), based on molecular and morphological evidence",Systematic Entomology,2020-10-01T00:00:00.000Z,10.1111/syen.12426,13,Canada,2020
AGRI,SCOPUS_ID:85079731281,2-s2.0-85079731281,"Recognition of the Trachypetidae stat.n. as a new extant family of Ichneumonoidea (Hymenoptera), based on molecular and morphological evidence",Systematic Entomology,2020-10-01T00:00:00.000Z,10.1111/syen.12426,13,Thailand,2020
AGRI,SCOPUS_ID:85080046076,2-s2.0-85080046076,Heterologous Expression of Ethanol Synthesis Pathway in Glycogen Deficient Synechococcus elongatus PCC 7942 Resulted in Enhanced Production of Ethanol and Exopolysaccharides,Frontiers in Plant Science,2020-02-14T00:00:00.000Z,10.3389/fpls.2020.00074,12,Thailand,2020
AGRI,SCOPUS_ID:85080095931,2-s2.0-85080095931,Phase inversion temperature-fabricated cinnamon oil nanoemulsion as a natural preservative for prolonging shelf-life of chilled Asian seabass (Lates calcarifer) fillets,LWT,2020-05-01T00:00:00.000Z,10.1016/j.lwt.2020.109122,37,Thailand,2020
AGRI,SCOPUS_ID:85080132663,2-s2.0-85080132663,Exogenous methyl salicylate alleviates senescent spotting by enhancing the activity of antioxidative ascorbate-glutathione cycle in harvested ‘Sucrier’ bananas,Scientia Horticulturae,2020-06-01T00:00:00.000Z,10.1016/j.scienta.2020.109324,31,Thailand,2020
AGRI,SCOPUS_ID:85081002070,2-s2.0-85081002070,Streptococcosis in freshwater farmed seabass Lates calcarifer and its virulence in Nile tilapia Oreochromis niloticus,Aquaculture,2020-06-30T00:00:00.000Z,10.1016/j.aquaculture.2020.735189,14,Japan,2020
AGRI,SCOPUS_ID:85081002070,2-s2.0-85081002070,Streptococcosis in freshwater farmed seabass Lates calcarifer and its virulence in Nile tilapia Oreochromis niloticus,Aquaculture,2020-06-30T00:00:00.000Z,10.1016/j.aquaculture.2020.735189,14,Thailand,2020
AGRI,SCOPUS_ID:85081031050,2-s2.0-85081031050,"Effect of backfat thickness during late gestation on farrowing duration, piglet birth weight, colostrum yield, milk yield and reproductive performance of sows",Livestock Science,2020-04-01T00:00:00.000Z,10.1016/j.livsci.2020.103983,16,Thailand,2020
AGRI,SCOPUS_ID:85081260726,2-s2.0-85081260726,"The effects of salts and osmoprotectants on enzyme activities of fructose-1,6-biphosphate aldolases in a halotolerant cyanobacterium, halothece SP. PCC 7418",Life,2020-03-01T00:00:00.000Z,10.3390/life10030023,5,Japan,2020
AGRI,SCOPUS_ID:85081260726,2-s2.0-85081260726,"The effects of salts and osmoprotectants on enzyme activities of fructose-1,6-biphosphate aldolases in a halotolerant cyanobacterium, halothece SP. PCC 7418",Life,2020-03-01T00:00:00.000Z,10.3390/life10030023,5,Thailand,2020
AGRI,SCOPUS_ID:85081533221,2-s2.0-85081533221,"Postprandial glycemia, insulinemia, and antioxidant status in healthy subjects after ingestion of bread made from anthocyanin-rich riceberry rice",Nutrients,2020-03-01T00:00:00.000Z,10.3390/nu12030782,23,Thailand,2020
AGRI,SCOPUS_ID:85081554168,2-s2.0-85081554168,"Ceropegia phuchongensis (Apocynaceae, asclepiadoideae), a new species from eastern Thailand",Taiwania,2020-01-01T00:00:00.000Z,10.6165/tai.2020.65.101,4,Thailand,2020
AGRI,SCOPUS_ID:85081628780,2-s2.0-85081628780,"Antioxidant, α-amylase and α-glucosidase activity of various solvent fractions of I. obliquus and the preventive role of active fraction against H2O2 induced damage in hepatic L02 cells as fungisome",Journal of Food Science,2020-04-01T00:00:00.000Z,10.1111/1750-3841.15084,7,China,2020
AGRI,SCOPUS_ID:85081628780,2-s2.0-85081628780,"Antioxidant, α-amylase and α-glucosidase activity of various solvent fractions of I. obliquus and the preventive role of active fraction against H2O2 induced damage in hepatic L02 cells as fungisome",Journal of Food Science,2020-04-01T00:00:00.000Z,10.1111/1750-3841.15084,7,Malaysia,2020
AGRI,SCOPUS_ID:85081628780,2-s2.0-85081628780,"Antioxidant, α-amylase and α-glucosidase activity of various solvent fractions of I. obliquus and the preventive role of active fraction against H2O2 induced damage in hepatic L02 cells as fungisome",Journal of Food Science,2020-04-01T00:00:00.000Z,10.1111/1750-3841.15084,7,Thailand,2020
AGRI,SCOPUS_ID:85081736212,2-s2.0-85081736212,Yeast extract elicited isoflavonoid accumulation and biosynthetic gene expression in Pueraria candollei var. mirifica cell cultures,"Plant Cell, Tissue and Organ Culture",2020-06-01T00:00:00.000Z,10.1007/s11240-020-01809-2,12,Thailand,2020
AGRI,SCOPUS_ID:85082466092,2-s2.0-85082466092,"Antibacterial and antiproteinase activities of a double whey acidic protein domain-containing protein from Penaeus vannamei Boone, 1931 (Decapoda, Penaeidae)",Crustaceana,2020-01-01T00:00:00.000Z,10.1163/15685403-00003962,3,Thailand,2020
AGRI,SCOPUS_ID:85082534612,2-s2.0-85082534612,Survival of Salmonella in various wild animal feces that may contaminate produce,Journal of Food Protection,2020-04-01T00:00:00.000Z,10.4315/0362-028X.JFP-19-302,10,Thailand,2020
AGRI,SCOPUS_ID:85082534612,2-s2.0-85082534612,Survival of Salmonella in various wild animal feces that may contaminate produce,Journal of Food Protection,2020-04-01T00:00:00.000Z,10.4315/0362-028X.JFP-19-302,10,Trinidad and Tobago,2020
AGRI,SCOPUS_ID:85082534612,2-s2.0-85082534612,Survival of Salmonella in various wild animal feces that may contaminate produce,Journal of Food Protection,2020-04-01T00:00:00.000Z,10.4315/0362-028X.JFP-19-302,10,Turkey,2020
AGRI,SCOPUS_ID:85082534612,2-s2.0-85082534612,Survival of Salmonella in various wild animal feces that may contaminate produce,Journal of Food Protection,2020-04-01T00:00:00.000Z,10.4315/0362-028X.JFP-19-302,10,United States,2020
AGRI,SCOPUS_ID:85082673354,2-s2.0-85082673354,"Isolation, separation and purification of rutin from Banana leaves (Musa balbisiana)",Industrial Crops and Products,2020-07-01T00:00:00.000Z,10.1016/j.indcrop.2020.112307,17,Thailand,2020
AGRI,SCOPUS_ID:85082859122,2-s2.0-85082859122,Physiological mechanisms of the seedling stage salt tolerance of near isogenic rice lines with the 'KDML105' genetic background,International Journal of Agriculture and Biology,2020-01-01T00:00:00.000Z,10.17957/IJAB/15.1371,4,Thailand,2020
AGRI,SCOPUS_ID:85082873346,2-s2.0-85082873346,Effects of season and single layer centrifugation on bull sperm quality in thailand,Asian-Australasian Journal of Animal Sciences,2020-09-01T00:00:00.000Z,10.5713/ajas.19.0624,7,Sweden,2020
AGRI,SCOPUS_ID:85082873346,2-s2.0-85082873346,Effects of season and single layer centrifugation on bull sperm quality in thailand,Asian-Australasian Journal of Animal Sciences,2020-09-01T00:00:00.000Z,10.5713/ajas.19.0624,7,Thailand,2020
AGRI,SCOPUS_ID:85082944452,2-s2.0-85082944452,"Taxonomic revision of the land snail genera Macrochlamys Gray, 1847 and Sarika Godwin-Austen, 1907 (Eupulmonata: Ariophantidae) from south-eastern Myanmar, with descriptions of three new species",Molluscan Research,2020-04-02T00:00:00.000Z,10.1080/13235818.2020.1723041,12,Thailand,2020
AGRI,SCOPUS_ID:85082944452,2-s2.0-85082944452,"Taxonomic revision of the land snail genera Macrochlamys Gray, 1847 and Sarika Godwin-Austen, 1907 (Eupulmonata: Ariophantidae) from south-eastern Myanmar, with descriptions of three new species",Molluscan Research,2020-04-02T00:00:00.000Z,10.1080/13235818.2020.1723041,12,United Kingdom,2020
AGRI,SCOPUS_ID:85082968349,2-s2.0-85082968349,"Trichodinids and monogeneans infestation among Nile tilapia hatcheries in Egypt: prevalence, therapeutic and prophylactic treatments",Aquaculture International,2020-08-01T00:00:00.000Z,10.1007/s10499-020-00537-w,10,Egypt,2020
AGRI,SCOPUS_ID:85082968349,2-s2.0-85082968349,"Trichodinids and monogeneans infestation among Nile tilapia hatcheries in Egypt: prevalence, therapeutic and prophylactic treatments",Aquaculture International,2020-08-01T00:00:00.000Z,10.1007/s10499-020-00537-w,10,Thailand,2020
AGRI,SCOPUS_ID:85083172852,2-s2.0-85083172852,Potential use of policosanol extract from Thai bleached rice bran wax as an organogelator,Journal of Food Measurement and Characterization,2020-08-01T00:00:00.000Z,10.1007/s11694-020-00455-8,3,Thailand,2020
AGRI,SCOPUS_ID:85083201464,2-s2.0-85083201464,Neuro-fuzzy estimation of reference crop evapotranspiration by neuro fuzzy logic based on weather conditions,Computers and Electronics in Agriculture,2020-06-01T00:00:00.000Z,10.1016/j.compag.2020.105358,27,Iraq,2020
AGRI,SCOPUS_ID:85083201464,2-s2.0-85083201464,Neuro-fuzzy estimation of reference crop evapotranspiration by neuro fuzzy logic based on weather conditions,Computers and Electronics in Agriculture,2020-06-01T00:00:00.000Z,10.1016/j.compag.2020.105358,27,Serbia,2020
AGRI,SCOPUS_ID:85083201464,2-s2.0-85083201464,Neuro-fuzzy estimation of reference crop evapotranspiration by neuro fuzzy logic based on weather conditions,Computers and Electronics in Agriculture,2020-06-01T00:00:00.000Z,10.1016/j.compag.2020.105358,27,Thailand,2020
AGRI,SCOPUS_ID:85083201464,2-s2.0-85083201464,Neuro-fuzzy estimation of reference crop evapotranspiration by neuro fuzzy logic based on weather conditions,Computers and Electronics in Agriculture,2020-06-01T00:00:00.000Z,10.1016/j.compag.2020.105358,27,Viet Nam,2020
AGRI,SCOPUS_ID:85083345649,2-s2.0-85083345649,"Middle Permian (Roadian) gastropods from the Khao Khad Formation, Central Thailand: Implications for palaeogeography of the Indochina Terrane",Zootaxa,2020-04-17T00:00:00.000Z,10.11646/zootaxa.4766.1.1,7,Germany,2020
AGRI,SCOPUS_ID:85083345649,2-s2.0-85083345649,"Middle Permian (Roadian) gastropods from the Khao Khad Formation, Central Thailand: Implications for palaeogeography of the Indochina Terrane",Zootaxa,2020-04-17T00:00:00.000Z,10.11646/zootaxa.4766.1.1,7,Thailand,2020
AGRI,SCOPUS_ID:85083365374,2-s2.0-85083365374,"Investigating carbon dioxide absorption by urban trees in a new park of Bangkok, Thailand",BMC Ecology,2020-04-13T00:00:00.000Z,10.1186/s12898-020-00289-4,11,Thailand,2020
AGRI,SCOPUS_ID:85083551671,2-s2.0-85083551671,Optimization of ultrasound-assisted extraction of anthocyanins and bioactive compounds from butterfly pea petals using Taguchi method and Grey relational analysis,Journal of Food Science and Technology,2020-10-01T00:00:00.000Z,10.1007/s13197-020-04404-7,12,Thailand,2020
AGRI,SCOPUS_ID:85083551671,2-s2.0-85083551671,Optimization of ultrasound-assisted extraction of anthocyanins and bioactive compounds from butterfly pea petals using Taguchi method and Grey relational analysis,Journal of Food Science and Technology,2020-10-01T00:00:00.000Z,10.1007/s13197-020-04404-7,12,United States,2020
AGRI,SCOPUS_ID:85083558140,2-s2.0-85083558140,"The genus Vipio Latreille (Hymenoptera, Braconidae) in the Neotropical Region",ZooKeys,2020-01-01T00:00:00.000Z,10.3897/zookeys.925.48457,0,Pakistan,2020
AGRI,SCOPUS_ID:85083558140,2-s2.0-85083558140,"The genus Vipio Latreille (Hymenoptera, Braconidae) in the Neotropical Region",ZooKeys,2020-01-01T00:00:00.000Z,10.3897/zookeys.925.48457,0,Thailand,2020
AGRI,SCOPUS_ID:85083558140,2-s2.0-85083558140,"The genus Vipio Latreille (Hymenoptera, Braconidae) in the Neotropical Region",ZooKeys,2020-01-01T00:00:00.000Z,10.3897/zookeys.925.48457,0,United States,2020
