AGRI,SCOPUS_ID:85049217501,2-s2.0-85049217501,Omega-3 fatty acids and meloxicam supplementation and the incidence and histopathological changes associated with femoral head syndrome in broilers,Animal Production Science,2019-01-01T00:00:00.000Z,10.1071/AN17713,1,Thailand,2019
AGRI,SCOPUS_ID:85062321467,2-s2.0-85062321467,Insect assemblages attacking seeds and fruits in a rainforest in Thailand,Entomological Science,2019-06-01T00:00:00.000Z,10.1111/ens.12346,3,Thailand,2019
AGRI,SCOPUS_ID:85062321467,2-s2.0-85062321467,Insect assemblages attacking seeds and fruits in a rainforest in Thailand,Entomological Science,2019-06-01T00:00:00.000Z,10.1111/ens.12346,3,United Kingdom,2019
AGRI,SCOPUS_ID:85062321467,2-s2.0-85062321467,Insect assemblages attacking seeds and fruits in a rainforest in Thailand,Entomological Science,2019-06-01T00:00:00.000Z,10.1111/ens.12346,3,United States,2019
AGRI,SCOPUS_ID:85062441067,2-s2.0-85062441067,"Effect of supplementing the laying hen diets with choline, folic acid, and vitamin B12 on production performance, egg quality, and yolk phospholipid",Livestock Science,2019-05-01T00:00:00.000Z,10.1016/j.livsci.2019.02.019,6,Thailand,2019
AGRI,SCOPUS_ID:85062521369,2-s2.0-85062521369,Oil supplementation improved growth and diet digestibility in goats and sheep fed fattening diet,Asian-Australasian Journal of Animal Sciences,2019-04-01T00:00:00.000Z,10.5713/ajas.18.0059,11,Iran,2019
AGRI,SCOPUS_ID:85062521369,2-s2.0-85062521369,Oil supplementation improved growth and diet digestibility in goats and sheep fed fattening diet,Asian-Australasian Journal of Animal Sciences,2019-04-01T00:00:00.000Z,10.5713/ajas.18.0059,11,Malaysia,2019
AGRI,SCOPUS_ID:85062521369,2-s2.0-85062521369,Oil supplementation improved growth and diet digestibility in goats and sheep fed fattening diet,Asian-Australasian Journal of Animal Sciences,2019-04-01T00:00:00.000Z,10.5713/ajas.18.0059,11,Thailand,2019
AGRI,SCOPUS_ID:85062543026,2-s2.0-85062543026,The effect of dietary ions difference on drinking and eating patterns in dairy goats under high ambient temperature,Asian-Australasian Journal of Animal Sciences,2019-04-01T00:00:00.000Z,10.5713/ajas.18.0500,6,Thailand,2019
AGRI,SCOPUS_ID:85062543026,2-s2.0-85062543026,The effect of dietary ions difference on drinking and eating patterns in dairy goats under high ambient temperature,Asian-Australasian Journal of Animal Sciences,2019-04-01T00:00:00.000Z,10.5713/ajas.18.0500,6,Viet Nam,2019
AGRI,SCOPUS_ID:85062640972,2-s2.0-85062640972,Genetic Diversity of Apis spp. in Thailand Inferred from 28S rRNA Nuclear and Cytochrome b Mitochondrial Gene Sequences,Psyche (London),2019-01-01T00:00:00.000Z,10.1155/2019/5823219,5,Thailand,2019
AGRI,SCOPUS_ID:85062645521,2-s2.0-85062645521,Dealing with the effects of ocean acidification on coral reefs in the Indian Ocean and Asia,Regional Studies in Marine Science,2019-04-01T00:00:00.000Z,10.1016/j.rsma.2019.100560,21,Canada,2019
AGRI,SCOPUS_ID:85062645521,2-s2.0-85062645521,Dealing with the effects of ocean acidification on coral reefs in the Indian Ocean and Asia,Regional Studies in Marine Science,2019-04-01T00:00:00.000Z,10.1016/j.rsma.2019.100560,21,France,2019
AGRI,SCOPUS_ID:85062645521,2-s2.0-85062645521,Dealing with the effects of ocean acidification on coral reefs in the Indian Ocean and Asia,Regional Studies in Marine Science,2019-04-01T00:00:00.000Z,10.1016/j.rsma.2019.100560,21,Japan,2019
AGRI,SCOPUS_ID:85062645521,2-s2.0-85062645521,Dealing with the effects of ocean acidification on coral reefs in the Indian Ocean and Asia,Regional Studies in Marine Science,2019-04-01T00:00:00.000Z,10.1016/j.rsma.2019.100560,21,Kenya,2019
AGRI,SCOPUS_ID:85062645521,2-s2.0-85062645521,Dealing with the effects of ocean acidification on coral reefs in the Indian Ocean and Asia,Regional Studies in Marine Science,2019-04-01T00:00:00.000Z,10.1016/j.rsma.2019.100560,21,Lebanon,2019
AGRI,SCOPUS_ID:85062645521,2-s2.0-85062645521,Dealing with the effects of ocean acidification on coral reefs in the Indian Ocean and Asia,Regional Studies in Marine Science,2019-04-01T00:00:00.000Z,10.1016/j.rsma.2019.100560,21,Monaco,2019
AGRI,SCOPUS_ID:85062645521,2-s2.0-85062645521,Dealing with the effects of ocean acidification on coral reefs in the Indian Ocean and Asia,Regional Studies in Marine Science,2019-04-01T00:00:00.000Z,10.1016/j.rsma.2019.100560,21,Sweden,2019
AGRI,SCOPUS_ID:85062645521,2-s2.0-85062645521,Dealing with the effects of ocean acidification on coral reefs in the Indian Ocean and Asia,Regional Studies in Marine Science,2019-04-01T00:00:00.000Z,10.1016/j.rsma.2019.100560,21,Thailand,2019
AGRI,SCOPUS_ID:85062645521,2-s2.0-85062645521,Dealing with the effects of ocean acidification on coral reefs in the Indian Ocean and Asia,Regional Studies in Marine Science,2019-04-01T00:00:00.000Z,10.1016/j.rsma.2019.100560,21,United Kingdom,2019
AGRI,SCOPUS_ID:85062645521,2-s2.0-85062645521,Dealing with the effects of ocean acidification on coral reefs in the Indian Ocean and Asia,Regional Studies in Marine Science,2019-04-01T00:00:00.000Z,10.1016/j.rsma.2019.100560,21,United States,2019
AGRI,SCOPUS_ID:85062916334,2-s2.0-85062916334,First report of acute hepatopancreatic necrosis disease (AHPND) occurring in the USA,Diseases of Aquatic Organisms,2019-01-01T00:00:00.000Z,10.3354/dao03330,55,Thailand,2019
AGRI,SCOPUS_ID:85062916334,2-s2.0-85062916334,First report of acute hepatopancreatic necrosis disease (AHPND) occurring in the USA,Diseases of Aquatic Organisms,2019-01-01T00:00:00.000Z,10.3354/dao03330,55,United States,2019
AGRI,SCOPUS_ID:85062956868,2-s2.0-85062956868,Immediate and long-term effects of a very-low-calorie diet on diabetes remission and glycemic control in obese Thai patients with type 2 diabetes mellitus,Food Science and Nutrition,2019-03-01T00:00:00.000Z,10.1002/fsn3.956,28,Thailand,2019
AGRI,SCOPUS_ID:85063398997,2-s2.0-85063398997,Locomotor Kinematics of Two Semi-Wild Macaque Species (Macaca assamensis and Macaca arctoides) in Thailand,Folia Primatologica,2019-04-01T00:00:00.000Z,10.1159/000496024,2,Japan,2019
AGRI,SCOPUS_ID:85063398997,2-s2.0-85063398997,Locomotor Kinematics of Two Semi-Wild Macaque Species (Macaca assamensis and Macaca arctoides) in Thailand,Folia Primatologica,2019-04-01T00:00:00.000Z,10.1159/000496024,2,Thailand,2019
AGRI,SCOPUS_ID:85063514398,2-s2.0-85063514398,Rabbit induced pluripotent stem cells retain capability of in vitro cardiac differentiation,Experimental Animals,2019-01-01T00:00:00.000Z,10.1538/expanim.18-0074,10,Thailand,2019
AGRI,SCOPUS_ID:85063982789,2-s2.0-85063982789,Factors influencing colostrum consumption by piglets and their relationship with survival and growth in tropical climates,Livestock Science,2019-06-01T00:00:00.000Z,10.1016/j.livsci.2019.04.008,11,Denmark,2019
AGRI,SCOPUS_ID:85063982789,2-s2.0-85063982789,Factors influencing colostrum consumption by piglets and their relationship with survival and growth in tropical climates,Livestock Science,2019-06-01T00:00:00.000Z,10.1016/j.livsci.2019.04.008,11,Thailand,2019
AGRI,SCOPUS_ID:85063982789,2-s2.0-85063982789,Factors influencing colostrum consumption by piglets and their relationship with survival and growth in tropical climates,Livestock Science,2019-06-01T00:00:00.000Z,10.1016/j.livsci.2019.04.008,11,United Kingdom,2019
AGRI,SCOPUS_ID:85064072602,2-s2.0-85064072602,"Assisted reproduction in Nile tilapia Oreochromis niloticus: Milt preservation, spawning induction and artificial fertilization",Aquaculture,2019-05-30T00:00:00.000Z,10.1016/j.aquaculture.2019.04.019,3,Thailand,2019
AGRI,SCOPUS_ID:85064430590,2-s2.0-85064430590,Curcumin inhibits angiogenesis in endothelial cells using downregulation of the PI3K/Akt signaling pathway,Food Bioscience,2019-06-01T00:00:00.000Z,10.1016/j.fbio.2019.04.005,9,Iran,2019
AGRI,SCOPUS_ID:85064430590,2-s2.0-85064430590,Curcumin inhibits angiogenesis in endothelial cells using downregulation of the PI3K/Akt signaling pathway,Food Bioscience,2019-06-01T00:00:00.000Z,10.1016/j.fbio.2019.04.005,9,Thailand,2019
AGRI,SCOPUS_ID:85064819079,2-s2.0-85064819079,Defatted fiber produced from lemon Basil (Ocimum citriodorum Vis.)seed with supercritical CO2: Economic analysis,Industrial Crops and Products,2019-09-01T00:00:00.000Z,10.1016/j.indcrop.2019.03.042,11,Thailand,2019
AGRI,SCOPUS_ID:85065072718,2-s2.0-85065072718,A veterinary clinical case of severe chronic Haemonchus contortus infection in a goat: The clinical management of the case and pathology findings,Advances in Animal and Veterinary Sciences,2019-01-01T00:00:00.000Z,10.17582/journal.aavs/2019/7.6.503.507,1,Malaysia,2019
AGRI,SCOPUS_ID:85065072718,2-s2.0-85065072718,A veterinary clinical case of severe chronic Haemonchus contortus infection in a goat: The clinical management of the case and pathology findings,Advances in Animal and Veterinary Sciences,2019-01-01T00:00:00.000Z,10.17582/journal.aavs/2019/7.6.503.507,1,Nigeria,2019
AGRI,SCOPUS_ID:85065072718,2-s2.0-85065072718,A veterinary clinical case of severe chronic Haemonchus contortus infection in a goat: The clinical management of the case and pathology findings,Advances in Animal and Veterinary Sciences,2019-01-01T00:00:00.000Z,10.17582/journal.aavs/2019/7.6.503.507,1,Thailand,2019
AGRI,SCOPUS_ID:85065096612,2-s2.0-85065096612,Pathological femoral fracture in a doe secondary to osteomalacia: A veterinary clinical case report,Advances in Animal and Veterinary Sciences,2019-01-01T00:00:00.000Z,10.17582/journal.aavs/2019/7.6.498.502,0,Malaysia,2019
AGRI,SCOPUS_ID:85065096612,2-s2.0-85065096612,Pathological femoral fracture in a doe secondary to osteomalacia: A veterinary clinical case report,Advances in Animal and Veterinary Sciences,2019-01-01T00:00:00.000Z,10.17582/journal.aavs/2019/7.6.498.502,0,Nigeria,2019
AGRI,SCOPUS_ID:85065096612,2-s2.0-85065096612,Pathological femoral fracture in a doe secondary to osteomalacia: A veterinary clinical case report,Advances in Animal and Veterinary Sciences,2019-01-01T00:00:00.000Z,10.17582/journal.aavs/2019/7.6.498.502,0,Thailand,2019
AGRI,SCOPUS_ID:85065098021,2-s2.0-85065098021,Antimicrobial activity and chemical stability of cinnamon oil in oil-in-water nanoemulsions fabricated using the phase inversion temperature method,LWT,2019-08-01T00:00:00.000Z,10.1016/j.lwt.2019.03.012,50,Thailand,2019
AGRI,SCOPUS_ID:85065098021,2-s2.0-85065098021,Antimicrobial activity and chemical stability of cinnamon oil in oil-in-water nanoemulsions fabricated using the phase inversion temperature method,LWT,2019-08-01T00:00:00.000Z,10.1016/j.lwt.2019.03.012,50,United States,2019
AGRI,SCOPUS_ID:85065226568,2-s2.0-85065226568,"A new species and a new record of the southeast asian millipede genus antheromorpha jeekel, 1968 (polydesmida, paradoxosomatidae) from Vietnam",ZooKeys,2019-01-01T00:00:00.000Z,10.3897/zookeys.832.32596,3,Russian Federation,2019
AGRI,SCOPUS_ID:85065226568,2-s2.0-85065226568,"A new species and a new record of the southeast asian millipede genus antheromorpha jeekel, 1968 (polydesmida, paradoxosomatidae) from Vietnam",ZooKeys,2019-01-01T00:00:00.000Z,10.3897/zookeys.832.32596,3,Thailand,2019
AGRI,SCOPUS_ID:85065226568,2-s2.0-85065226568,"A new species and a new record of the southeast asian millipede genus antheromorpha jeekel, 1968 (polydesmida, paradoxosomatidae) from Vietnam",ZooKeys,2019-01-01T00:00:00.000Z,10.3897/zookeys.832.32596,3,Viet Nam,2019
AGRI,SCOPUS_ID:85065316844,2-s2.0-85065316844,"New localities for Tylototriton uyenoi, T. Panhai and T. Anguliceps in Thailand with remarks on the southernmost distribution of the genus",Herpetological Bulletin,2019-03-01T00:00:00.000Z,10.33256/hb147.1518,9,China,2019
AGRI,SCOPUS_ID:85065316844,2-s2.0-85065316844,"New localities for Tylototriton uyenoi, T. Panhai and T. Anguliceps in Thailand with remarks on the southernmost distribution of the genus",Herpetological Bulletin,2019-03-01T00:00:00.000Z,10.33256/hb147.1518,9,France,2019
AGRI,SCOPUS_ID:85065316844,2-s2.0-85065316844,"New localities for Tylototriton uyenoi, T. Panhai and T. Anguliceps in Thailand with remarks on the southernmost distribution of the genus",Herpetological Bulletin,2019-03-01T00:00:00.000Z,10.33256/hb147.1518,9,Spain,2019
AGRI,SCOPUS_ID:85065316844,2-s2.0-85065316844,"New localities for Tylototriton uyenoi, T. Panhai and T. Anguliceps in Thailand with remarks on the southernmost distribution of the genus",Herpetological Bulletin,2019-03-01T00:00:00.000Z,10.33256/hb147.1518,9,Thailand,2019
AGRI,SCOPUS_ID:85065399729,2-s2.0-85065399729,Prevalence of tool behaviour is associated with pelage phenotype in intraspecific hybrid long-tailed macaques (Macaca fascicularis aurea × M. f. fascicularis),Behaviour,2019-01-01T00:00:00.000Z,10.1163/1568539X-00003557,9,Germany,2019
AGRI,SCOPUS_ID:85065399729,2-s2.0-85065399729,Prevalence of tool behaviour is associated with pelage phenotype in intraspecific hybrid long-tailed macaques (Macaca fascicularis aurea × M. f. fascicularis),Behaviour,2019-01-01T00:00:00.000Z,10.1163/1568539X-00003557,9,Japan,2019
AGRI,SCOPUS_ID:85065399729,2-s2.0-85065399729,Prevalence of tool behaviour is associated with pelage phenotype in intraspecific hybrid long-tailed macaques (Macaca fascicularis aurea × M. f. fascicularis),Behaviour,2019-01-01T00:00:00.000Z,10.1163/1568539X-00003557,9,Singapore,2019
AGRI,SCOPUS_ID:85065399729,2-s2.0-85065399729,Prevalence of tool behaviour is associated with pelage phenotype in intraspecific hybrid long-tailed macaques (Macaca fascicularis aurea × M. f. fascicularis),Behaviour,2019-01-01T00:00:00.000Z,10.1163/1568539X-00003557,9,Thailand,2019
