filename,dc_title,affiliation_country,srctype,eid,prism_coverDate,prism_aggregationType,subtypeDescription,subject_area_name,subject_area_code,subject_area_abbrev,publicationName,source_id,citedby_count,subtype,prism_doi,dc_identifier,dc_publisher
201900007,Transcriptome analysis of Pueraria candollei var. mirifica for gene discovery in the biosyntheses of isoflavones and miroestrol,Japan,j,2-s2.0-85077258483,2019-12-26T00:00:00.000Z,Journal,Article,Plant Science,1110,AGRI,BMC Plant Biology,16794,13,ar,10.1186/s12870-019-2205-0,SCOPUS_ID:85077258483,BioMed Central Ltd.info@biomedcentral.com
201900007,Transcriptome analysis of Pueraria candollei var. mirifica for gene discovery in the biosyntheses of isoflavones and miroestrol,Thailand,j,2-s2.0-85077258483,2019-12-26T00:00:00.000Z,Journal,Article,Plant Science,1110,AGRI,BMC Plant Biology,16794,13,ar,10.1186/s12870-019-2205-0,SCOPUS_ID:85077258483,BioMed Central Ltd.info@biomedcentral.com
201900008,Performance of a Monofiber Optical Probe in Determining the Droplet Size and Velocity in Spray Systems Compared with a High-Speed Camera,France,j,2-s2.0-85076538010,2019-12-26T00:00:00.000Z,Journal,Article,Chemistry (all),1600,CHEM,Industrial and Engineering Chemistry Research,13057,6,ar,10.1021/acs.iecr.9b02446,SCOPUS_ID:85076538010,American Chemical Societyservice@acs.org
201900008,Performance of a Monofiber Optical Probe in Determining the Droplet Size and Velocity in Spray Systems Compared with a High-Speed Camera,Thailand,j,2-s2.0-85076538010,2019-12-26T00:00:00.000Z,Journal,Article,Chemistry (all),1600,CHEM,Industrial and Engineering Chemistry Research,13057,6,ar,10.1021/acs.iecr.9b02446,SCOPUS_ID:85076538010,American Chemical Societyservice@acs.org
201900009,Hybrid Monitoring of Surface Roughness and Straightness in CNC Turning of Aluminium using Neural Networks Approach,Thailand,p,2-s2.0-85090234975,2019-12-21T00:00:00.000Z,Conference Proceeding,Conference Paper,Software,1712,COMP,ACM International Conference Proceeding Series,11600154611,0,cp,10.1145/3375959.3375964,SCOPUS_ID:85090234975,Association for Computing Machinery
201900010,Bacterial community structures and biodegradation kinetic of Tiamulin antibiotic degrading enriched consortia from swine wastewater,Thailand,j,2-s2.0-85079061595,2019-12-21T00:00:00.000Z,Journal,Article,Environmental Engineering,2305,ENVI,Journal of Environmental Health Science and Engineering,21100242835,6,ar,10.1007/s40201-019-00426-2,SCOPUS_ID:85079061595,Springer
201900010,Bacterial community structures and biodegradation kinetic of Tiamulin antibiotic degrading enriched consortia from swine wastewater,Viet Nam,j,2-s2.0-85079061595,2019-12-21T00:00:00.000Z,Journal,Article,Environmental Engineering,2305,ENVI,Journal of Environmental Health Science and Engineering,21100242835,6,ar,10.1007/s40201-019-00426-2,SCOPUS_ID:85079061595,Springer
201900011,"Impact of faculty development programme on self-efficacy, competency and attitude towards medical education in Bhutan: A mixed-methods study",Bhutan,j,2-s2.0-85077156473,2019-12-21T00:00:00.000Z,Journal,Article,Education,3304,SOCI,BMC Medical Education,28099,7,ar,10.1186/s12909-019-1904-4,SCOPUS_ID:85077156473,BioMed Central Ltd.info@biomedcentral.com
201900011,"Impact of faculty development programme on self-efficacy, competency and attitude towards medical education in Bhutan: A mixed-methods study",Thailand,j,2-s2.0-85077156473,2019-12-21T00:00:00.000Z,Journal,Article,Education,3304,SOCI,BMC Medical Education,28099,7,ar,10.1186/s12909-019-1904-4,SCOPUS_ID:85077156473,BioMed Central Ltd.info@biomedcentral.com
201900011,"Impact of faculty development programme on self-efficacy, competency and attitude towards medical education in Bhutan: A mixed-methods study",United States,j,2-s2.0-85077156473,2019-12-21T00:00:00.000Z,Journal,Article,Education,3304,SOCI,BMC Medical Education,28099,7,ar,10.1186/s12909-019-1904-4,SCOPUS_ID:85077156473,BioMed Central Ltd.info@biomedcentral.com
201900012,Formalizing railway network using hierarchical timed coloured petri nets,Thailand,p,2-s2.0-85082519384,2019-12-20T00:00:00.000Z,Conference Proceeding,Conference Paper,Software,1712,COMP,ACM International Conference Proceeding Series,11600154611,2,cp,10.1145/3377170.3377221,SCOPUS_ID:85082519384,Association for Computing Machinery
201900013,Extracting structured data from unstructured text using conditional random field and jaccard similarity,Thailand,p,2-s2.0-85082508161,2019-12-20T00:00:00.000Z,Conference Proceeding,Conference Paper,Software,1712,COMP,ACM International Conference Proceeding Series,11600154611,0,cp,10.1145/3377170.3377255,SCOPUS_ID:85082508161,Association for Computing Machinery
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Armenia,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Australia,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Austria,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Belarus,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Belgium,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Brazil,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Bulgaria,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,China,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Colombia,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Croatia,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Cyprus,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Czech Republic,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Ecuador,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Egypt,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Estonia,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Finland,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,France,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Georgia,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Germany,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Greece,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Hungary,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,India,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Iran,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Ireland,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Italy,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Latvia,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Lithuania,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Malaysia,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Mexico,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Montenegro,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,New Zealand,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Pakistan,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Poland,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Portugal,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Puerto Rico,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Qatar,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Russian Federation,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Serbia,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,South Korea,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Spain,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Sri Lanka,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Switzerland,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Taiwan,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Thailand,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Turkey,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Ukraine,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,United Kingdom,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,United States,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900014,Search for low mass vector resonances decaying into quark-antiquark pairs in proton-proton collisions at √s=13 TeV,Uzbekistan,j,2-s2.0-85077391071,2019-12-20T00:00:00.000Z,Journal,Article,Nuclear and High Energy Physics,3106,PHYS,Physical Review D,21100779241,41,ar,10.1103/PhysRevD.100.112007,SCOPUS_ID:85077391071,American Physical Society
201900015,Biologics for chronic rhinosinusitis,Thailand,j,2-s2.0-85076952339,2019-12-20T00:00:00.000Z,Journal,Article,Pharmacology (medical),2736,MEDI,Cochrane Database of Systematic Reviews,29775,28,ar,10.1002/14651858.CD013513,SCOPUS_ID:85076952339,"John Wiley and Sons LtdSouthern GateChichester, West SussexPO19 8SQvgorayska@wiley.com"
201900015,Biologics for chronic rhinosinusitis,United Kingdom,j,2-s2.0-85076952339,2019-12-20T00:00:00.000Z,Journal,Article,Pharmacology (medical),2736,MEDI,Cochrane Database of Systematic Reviews,29775,28,ar,10.1002/14651858.CD013513,SCOPUS_ID:85076952339,"John Wiley and Sons LtdSouthern GateChichester, West SussexPO19 8SQvgorayska@wiley.com"
201900016,Pathways to parental anxiety: Effect of coping strategies for disruptive behaviors in children with attention deficit-hyperactivity disorder,Thailand,j,2-s2.0-85078788285,2019-12-19T00:00:00.000Z,Journal,Article,"Biochemistry, Genetics and Molecular Biology (all)",1300,BIOC,Asian Biomedicine,19300156818,0,ar,10.1515/abm-2019-0035,SCOPUS_ID:85078788285,Sciendomacvetrev@fvm.ukim.edu.mk
201900017,A need for screening and early diagnosis of breast cancer,Thailand,j,2-s2.0-85078172194,2019-12-19T00:00:00.000Z,Journal,Editorial,"Biochemistry, Genetics and Molecular Biology (all)",1300,BIOC,Asian Biomedicine,19300156818,0,ed,10.1515/abm-2019-0032,SCOPUS_ID:85078172194,Sciendomacvetrev@fvm.ukim.edu.mk
201900018,Changes in protein patterns of Staphylococcus aureus and Escherichia coli by silver nanoparticles capped with poly (4-styrenesulfonic acid-co-maleic acid) polymer,Thailand,j,2-s2.0-85078139162,2019-12-19T00:00:00.000Z,Journal,Article,"Biochemistry, Genetics and Molecular Biology (all)",1300,BIOC,Asian Biomedicine,19300156818,7,ar,10.1515/abm-2019-0039,SCOPUS_ID:85078139162,Sciendomacvetrev@fvm.ukim.edu.mk
201900019,Survival outcomes of low-risk and intermediate-risk stage ib1 cervical cancer patients,Thailand,j,2-s2.0-85078119559,2019-12-19T00:00:00.000Z,Journal,Article,"Biochemistry, Genetics and Molecular Biology (all)",1300,BIOC,Asian Biomedicine,19300156818,0,ar,10.1515/abm-2019-0036,SCOPUS_ID:85078119559,Sciendomacvetrev@fvm.ukim.edu.mk
201900020,A somatic pik3ca p.h1047l mutation in a Thai patient with isolated macrodactyly: A case report,Thailand,j,2-s2.0-85078111250,2019-12-19T00:00:00.000Z,Journal,Article,"Biochemistry, Genetics and Molecular Biology (all)",1300,BIOC,Asian Biomedicine,19300156818,0,ar,10.1515/abm-2019-0037,SCOPUS_ID:85078111250,Sciendomacvetrev@fvm.ukim.edu.mk
