Subject,Identifier,EID,Title,Creator,Publication Name,Publication Date,DOI,Cited By Count,Affiliation Name,Affiliation City,Affiliation Country,Year
MULT,SCOPUS_ID:85210127325,2-s2.0-85210127325,Norway rats recruit cooperation partners based on previous receipt of help while disregarding kinship,Engelhardt S.C.,iScience,2024-12-20,10.1016/j.isci.2024.111314,0,Georg-August-Universität Göttingen,Gottingen,Germany,2024
MULT,SCOPUS_ID:85210124944,2-s2.0-85210124944,Perceptual learning and neural correlates of virtual navigation in subjective cognitive decline: A pilot study,Amedi A.,iScience,2024-12-20,10.1016/j.isci.2024.111411,0,Reichman University,Herzliya,Israel,2024
MULT,SCOPUS_ID:85210123312,2-s2.0-85210123312,Language-specific representation of emotion-concept knowledge causally supports emotion inference,Li M.,iScience,2024-12-20,10.1016/j.isci.2024.111401,0,Tsinghua University,Beijing,China,2024
MULT,SCOPUS_ID:85210118634,2-s2.0-85210118634,QuickVol: A lightweight browser tool for immersive visualizations of volumetric data,Kuznetsov M.,iScience,2024-12-20,10.1016/j.isci.2024.111379,0,Baskin School of Engineering,Santa Cruz,United States,2024
MULT,SCOPUS_ID:85210118521,2-s2.0-85210118521,Lattice physics approaches for neural networks,Bardella G.,iScience,2024-12-20,10.1016/j.isci.2024.111390,0,Sapienza Università di Roma,Rome,Italy,2024
MULT,SCOPUS_ID:85210116651,2-s2.0-85210116651,Intrinsically robust and scalable biofilm segmentation under diverse physical growth conditions,Chiou J.g.,iScience,2024-12-20,10.1016/j.isci.2024.111386,0,"University of California, San Diego",La Jolla,United States,2024
MULT,SCOPUS_ID:85210114855,2-s2.0-85210114855,Phosphorylation of Optineurin by protein kinase D regulates Parkin-dependent mitophagy,Weil R.,iScience,2024-12-20,10.1016/j.isci.2024.111384,0,Sorbonne Université,Paris,France,2024
MULT,SCOPUS_ID:85210093397,2-s2.0-85210093397,Marine cosmetics and the blue bioeconomy: From sourcing to success stories,Rotter A.,iScience,2024-12-20,10.1016/j.isci.2024.111339,0,National Institute of Biology Ljubljana,Ljubljana,Slovenia,2024
MULT,SCOPUS_ID:85210067368,2-s2.0-85210067368,The role of nanomaterials in revolutionizing ischemic stroke treatment: Current trends and future prospects,Wang Y.,iScience,2024-12-20,10.1016/j.isci.2024.111373,0,Yanbian University,Yanji,China,2024
MULT,SCOPUS_ID:85210035901,2-s2.0-85210035901,Improving genome-scale metabolic models of incomplete genomes with deep learning,Boer M.D.,iScience,2024-12-20,10.1016/j.isci.2024.111349,0,Universiteit Utrecht,Utrecht,Netherlands,2024
MULT,SCOPUS_ID:85210035124,2-s2.0-85210035124,No gender difference in confidence or metacognitive ability in perceptual decision-making,Xue K.,iScience,2024-12-20,10.1016/j.isci.2024.111375,0,Georgia Institute of Technology,Atlanta,United States,2024
MULT,SCOPUS_ID:85210019525,2-s2.0-85210019525,"Symmetric dimethylguanidino valeric acid, a novel single biomarker of hepatic steatosis",Rodionov R.N.,iScience,2024-12-20,10.1016/j.isci.2024.111366,0,College of Medicine and Public Health,Adelaide,Australia,2024
MULT,SCOPUS_ID:85210018827,2-s2.0-85210018827,Unsupervised attribute reduction based on variable precision weighted neighborhood dependency,Li Y.,iScience,2024-12-20,10.1016/j.isci.2024.111270,0,Sichuan Minzu College,Kangding,China,2024
MULT,SCOPUS_ID:85210011009,2-s2.0-85210011009,Blocking CCL3-mediated neutrophil recruitment into the brain alleviates immunopathology following severe enterovirus 71 infection,Yang W.,iScience,2024-12-20,10.1016/j.isci.2024.111388,0,Institute of Microbiology Chinese Academy of Sciences,Beijing,China,2024
MULT,SCOPUS_ID:85210009246,2-s2.0-85210009246,Three-dimensional characteristics of T cells and vasculature in the development of mouse esophageal cancer,Bi S.,iScience,2024-12-20,10.1016/j.isci.2024.111380,0,Shenzhen Bay Laboratory,Shenzhen,China,2024
MULT,SCOPUS_ID:85210008087,2-s2.0-85210008087,Pleiotropic tumor suppressive functions of PTEN missense mutations during gliomagenesis,Jun H.J.,iScience,2024-12-20,10.1016/j.isci.2024.111278,0,Beth Israel Deaconess Medical Center,Boston,United States,2024
MULT,SCOPUS_ID:85209990106,2-s2.0-85209990106,Elucidating the linagliptin and fibroblast activation protein binding mechanism through molecular dynamics and binding free energy analysis,Shi M.,iScience,2024-12-20,10.1016/j.isci.2024.111368,0,West China School of Medicine/West China Hospital of Sichuan University,Chengdu,China,2024
MULT,SCOPUS_ID:85209987819,2-s2.0-85209987819,L-lysine and surfactant-assisted synthesis of NiCo bimetal oxides for electrochemical water splitting,Tabassum A.,iScience,2024-12-20,10.1016/j.isci.2024.110823,0,University of the Punjab,Lahore,Pakistan,2024
MULT,SCOPUS_ID:85209931387,2-s2.0-85209931387,Compensatory adaptation of parallel motor pathways promotes skilled forelimb recovery after spinal cord injury,Sheikh I.S.,iScience,2024-12-20,10.1016/j.isci.2024.111371,0,Lewis Katz School of Medicine,Philadelphia,United States,2024
MULT,SCOPUS_ID:85209922918,2-s2.0-85209922918,Crosstalk between metabolic and epigenetic modifications during cell carcinogenesis,Gao Y.,iScience,2024-12-20,10.1016/j.isci.2024.111359,0,Inner Mongolia University China,Hohhot,China,2024
MULT,SCOPUS_ID:85209920818,2-s2.0-85209920818,Bio-inspiration unveiled: Dissecting nature's designs through the lens of the female locust's oviposition mechanism,Ayali A.,iScience,2024-12-20,10.1016/j.isci.2024.111378,0,Tel Aviv University,Tel Aviv-Yafo,Israel,2024
MULT,SCOPUS_ID:85209918658,2-s2.0-85209918658,Trans-Saharan migratory patterns in Vanessa cardui and evidence for a southward leapfrog migration,Reich M.S.,iScience,2024-12-20,10.1016/j.isci.2024.111342,0,University of Ottawa,Ottawa,Canada,2024
MULT,SCOPUS_ID:85209907573,2-s2.0-85209907573,Single-nucleus transcriptomic analysis reveals the regulatory circuitry of myofiber XBP1 during regenerative myogenesis,Joshi A.S.,iScience,2024-12-20,10.1016/j.isci.2024.111372,0,University of Houston,Houston,United States,2024
MULT,SCOPUS_ID:85209905567,2-s2.0-85209905567,5G-based collaborative trajectory following modeling and enhancement in connected and automated airspace environment,Huang X.,iScience,2024-12-20,10.1016/j.isci.2024.111361,0,Nanjing University of Aeronautics and Astronautics,Nanjing,China,2024
MULT,SCOPUS_ID:85209872662,2-s2.0-85209872662,Adaptive data embedding for curved spaces,Praturu A.,iScience,2024-12-20,10.1016/j.isci.2024.111266,0,Salk Institute for Biological Studies,San Diego,United States,2024
MULT,SCOPUS_ID:85209769494,2-s2.0-85209769494,Pattern-based quantum text watermarking: Securing digital content with next-Gen quantum techniques,Xing Z.,iScience,2024-12-20,10.1016/j.isci.2024.111364,0,Macao Polytechnic University,Macau,Macao,2024
MULT,SCOPUS_ID:85209765976,2-s2.0-85209765976,Selective aqueous anion recognition in an anionic host,Bar Ziv N.,iScience,2024-12-20,10.1016/j.isci.2024.111348,0,"University of California, Riverside",Riverside,United States,2024
MULT,SCOPUS_ID:85209763612,2-s2.0-85209763612,"Trade-offs among human, animal, and environmental health hinder the uniform progress of global One Health",Tian Y.,iScience,2024-12-20,10.1016/j.isci.2024.111357,0,"Key Laboratory of Virtual Geographic Environment, Ministry of Education",Nanjing,China,2024
MULT,SCOPUS_ID:85209753770,2-s2.0-85209753770,Epigenetic control of myogenic identity of human muscle stem cells in Duchenne muscular dystrophy,Massenet J.,iScience,2024-12-20,10.1016/j.isci.2024.111350,0,Université Claude Bernard Lyon 1,Villeurbanne,France,2024
MULT,SCOPUS_ID:85209747912,2-s2.0-85209747912,HucMSCs can alleviate abnormal vasculogenesis induced by high glucose through the MAPK signaling pathway,Yao Y.,iScience,2024-12-20,10.1016/j.isci.2024.111354,0,Shandong First Medical University &amp; Shandong Academy of Medical Sciences,Jinan,China,2024
MULT,SCOPUS_ID:85209746878,2-s2.0-85209746878,Altered m6A RNA methylation profiles in depression implicate the dysregulation of discrete cellular functions in males and females,Mitsuhashi H.,iScience,2024-12-20,10.1016/j.isci.2024.111316,0,Le Centre de Recherche Douglas,Montreal,Canada,2024
MULT,SCOPUS_ID:85209734753,2-s2.0-85209734753,The role of deep learning in myocardial perfusion imaging for diagnosis and prognosis: A systematic review,Hu X.,iScience,2024-12-20,10.1016/j.isci.2024.111374,0,Tongji University School of Medicine,Shanghai,China,2024
MULT,SCOPUS_ID:85209716542,2-s2.0-85209716542,Comparative genomic study of non-typeable Haemophilus influenzae in children with pneumonia and healthy controls,Zhang D.,iScience,2024-12-20,10.1016/j.isci.2024.111330,0,Shantou University Medical College,Shantou,China,2024
MULT,SCOPUS_ID:85209716486,2-s2.0-85209716486,ECM-dependent regulation of septin 7 in focal adhesions promotes mechanosensing and functional response in fibroblasts,Sturgess W.,iScience,2024-12-20,10.1016/j.isci.2024.111355,0,"Institutionen för Kliniska Vetenskaper, Lund",Lund,Sweden,2024
MULT,SCOPUS_ID:85209708753,2-s2.0-85209708753,Spatial transcriptomics identifies RBM39 as a gene associated with Gleason score progression in prostate cancer,Quan Y.,iScience,2024-12-20,10.1016/j.isci.2024.111351,0,"Beijing Tongren Hospital, Capital Medical University",Beijing,China,2024
MULT,SCOPUS_ID:85209690664,2-s2.0-85209690664,Predictive value of machine learning model based on CT values for urinary tract infection stones,Li J.,iScience,2024-12-20,10.1016/j.isci.2024.110843,0,Jiangxi Medical College,Nanchang,China,2024
MULT,SCOPUS_ID:85209689895,2-s2.0-85209689895,Evidences from gut microbiome and habitat landscape indicate continued threat of extinction for the Hainan gibbon,Huang G.,iScience,2024-12-20,10.1016/j.isci.2024.111352,0,Jiangxi Agricultural University,Nanchang,China,2024
MULT,SCOPUS_ID:85209682321,2-s2.0-85209682321,Evaluating potential power output of terrestrial thermoradiative diodes with atmospheric modeling,Harrison J.A.,iScience,2024-12-20,10.1016/j.isci.2024.111346,0,UNSW Sydney,Sydney,Australia,2024
MULT,SCOPUS_ID:85209681619,2-s2.0-85209681619,Immunogenic peptides putatively from intratumor microbes: Opportunities for colorectal cancer treatment,Guan X.,iScience,2024-12-20,10.1016/j.isci.2024.111338,0,University of Chinese Academy of Sciences,Beijing,China,2024
MULT,SCOPUS_ID:85209679633,2-s2.0-85209679633,Toxoplasma gondii induces MST2 phosphorylation mediating the activation of hippo signaling pathway to promote apoptosis and lung tissue damage,Xu K.,iScience,2024-12-20,10.1016/j.isci.2024.111312,0,Yangzhou University,Yangzhou,China,2024
MULT,SCOPUS_ID:85209677009,2-s2.0-85209677009,Efficacy of radiotherapy combined with atezolizumab or docetaxel in patients with previously treated NSCLC,Xu J.,iScience,2024-12-20,10.1016/j.isci.2024.111363,0,Zunyi Medical University,Zunyi,China,2024
MULT,SCOPUS_ID:85209676118,2-s2.0-85209676118,An enhanced machine learning-based prognostic prediction model for patients with AECOPD on invasive mechanical ventilation,Fu Y.,iScience,2024-12-20,10.1016/j.isci.2024.111230,0,The First Affiliated Hospital of Wenzhou Medical University,Wenzhou,China,2024
MULT,SCOPUS_ID:85209663143,2-s2.0-85209663143,Association between cyclin-dependent kinase 4/6 inhibitors and nephrotoxicity in patients with breast cancer: A Systematic Review and meta-analysis,Cui J.,iScience,2024-12-20,10.1016/j.isci.2024.111370,0,Qinghai University,Xining,China,2024
MULT,SCOPUS_ID:85209659281,2-s2.0-85209659281,Adipocyte Angptl8 deletion improves glucose and energy metabolism and obesity associated inflammation in mice,Ghosh A.,iScience,2024-12-20,10.1016/j.isci.2024.111292,0,Centre Hospitalier de L'Université de Montréal,Montreal,Canada,2024
MULT,SCOPUS_ID:85209657200,2-s2.0-85209657200,Theoretical framework and differentiated policies for national park zoning management: A Baishanzu case study in China,Cai Y.,iScience,2024-12-20,10.1016/j.isci.2024.111377,0,"School of Public Affairs, Zhejiang University",Hangzhou,China,2024
MULT,SCOPUS_ID:85209657050,2-s2.0-85209657050,Berbamine prevents SARS-CoV-2 entry and transmission,Sadhu S.,iScience,2024-12-20,10.1016/j.isci.2024.111347,0,Translational Health Science and Technology Institute,Faridabad,India,2024
MULT,SCOPUS_ID:85209655100,2-s2.0-85209655100,Enhanced flight performance in hoverfly migrants,Massy R.,iScience,2024-12-20,10.1016/j.isci.2024.111345,0,University of Exeter,Exeter,United Kingdom,2024
MULT,SCOPUS_ID:85209649906,2-s2.0-85209649906,Media frame development of direct air capture 2011–2023: A comparative analysis of Europe and North America,Upham P.J.,iScience,2024-12-20,10.1016/j.isci.2024.111360,0,ESRIG,Groningen,Netherlands,2024
MULT,SCOPUS_ID:85209649734,2-s2.0-85209649734,Assessing the impact of armed conflict on the progress of achieving 17 sustainable development goals,Wang D.,iScience,2024-12-20,10.1016/j.isci.2024.111331,0,"Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences",Beijing,China,2024
MULT,SCOPUS_ID:85209639012,2-s2.0-85209639012,Lipid-lowering drug and complement factor H genotyping–personalized treatment strategy for age-related macular degeneration,Xue C.C.,iScience,2024-12-20,10.1016/j.isci.2024.111344,0,Singapore Eye Research Institute,Singapore City,Singapore,2024
MULT,SCOPUS_ID:85209587830,2-s2.0-85209587830,The WAVE regulatory complex interacts with Boc and is required for Shh-mediated axon guidance,Balekoglu N.,iScience,2024-12-20,10.1016/j.isci.2024.111333,0,Institut de Recherches Cliniques de Montréal,Montreal,Canada,2024
MULT,SCOPUS_ID:85209581043,2-s2.0-85209581043,Neuronal Sequences and dynamic coding of water-sucrose categorization in rat gustatory cortices,Mendoza G.,iScience,2024-12-20,10.1016/j.isci.2024.111287,0,Universidad Nacional Autónoma de México,Mexico,Mexico,2024
MULT,SCOPUS_ID:85209578191,2-s2.0-85209578191,Lysophosphatidylcholine induced by fat transplantation regulates hyperalgesia by affecting the dysfunction of ACC perineuronal nets,Li J.,iScience,2024-12-20,10.1016/j.isci.2024.111274,0,Tongji Medical College of Huazhong University of Science and Technology,Wuhan,China,2024
MULT,SCOPUS_ID:85209576753,2-s2.0-85209576753,Influence of myosteatosis on survival of patients with pancreatic cancer: A systematic review and meta-analysis,Zhang X.,iScience,2024-12-20,10.1016/j.isci.2024.111343,0,The Fourth Hospital of Changsha,Changsha,China,2024
MULT,SCOPUS_ID:85209576097,2-s2.0-85209576097,"Tracking fructose 1,6-bisphosphate dynamics in liver cancer cells using a fluorescent biosensor",Pérez-Chávez I.,iScience,2024-12-20,10.1016/j.isci.2024.111336,0,Vrije Universiteit Brussel,Brussels,Belgium,2024
MULT,SCOPUS_ID:85209569093,2-s2.0-85209569093,Happy new ears: Rapid adaptation to novel spectral cues in vertical sound localization,Parise C.,iScience,2024-12-20,10.1016/j.isci.2024.111308,0,University of Liverpool,Liverpool,United Kingdom,2024
MULT,SCOPUS_ID:85209565969,2-s2.0-85209565969,Resistance to spindle inhibitors in glioblastoma depends on STAT3 and therapy induced senescence,Zarco N.,iScience,2024-12-20,10.1016/j.isci.2024.111311,0,"Mayo Clinic in Jacksonville, Florida",Jacksonville,United States,2024
MULT,SCOPUS_ID:85209561428,2-s2.0-85209561428,Does malaria infection increase the risk of predation-related mortality during bird migration?,Gangoso L.,iScience,2024-12-20,10.1016/j.isci.2024.111358,0,Universidad Complutense de Madrid,Madrid,Spain,2024
MULT,SCOPUS_ID:85209551076,2-s2.0-85209551076,CBP/p300 lysine acetyltransferases inhibit HIV-1 expression in latently infected T cells,Horvath R.M.,iScience,2024-12-20,10.1016/j.isci.2024.111244,0,The University of British Columbia,Vancouver,Canada,2024
MULT,SCOPUS_ID:85209400447,2-s2.0-85209400447,Combined effects of genetic background and diet on mouse metabolism and gene expression,Reed J.N.,iScience,2024-12-20,10.1016/j.isci.2024.111323,0,University of Virginia School of Medicine,Charlottesville,United States,2024
MULT,SCOPUS_ID:85209399802,2-s2.0-85209399802,Akkermansia muciniphila attenuates association between specific metal exposures during pregnancy and depressive symptoms in late childhood,Midya V.,iScience,2024-12-20,10.1016/j.isci.2024.111335,0,Icahn School of Medicine at Mount Sinai,New York,United States,2024
MULT,SCOPUS_ID:85209393844,2-s2.0-85209393844,Defining health equity: A modern US perspective,Prentice K.R.,iScience,2024-12-20,10.1016/j.isci.2024.111326,0,"University of South Florida, Tampa",Tampa,United States,2024
MULT,SCOPUS_ID:85209391934,2-s2.0-85209391934,Multimodal single-cell profiling reveals neuronal vulnerability and pathological cell states in focal cortical dysplasia,Galvão I.C.,iScience,2024-12-20,10.1016/j.isci.2024.111337,0,Universidade Estadual de Campinas,Campinas,Brazil,2024
MULT,SCOPUS_ID:85209368418,2-s2.0-85209368418,Hydrogel bead-based isothermal detection (BEAD-ID) for assessing the activity of DNA-modifying enzymes,Borg K.N.,iScience,2024-12-20,10.1016/j.isci.2024.111332,0,Chinese University of Hong Kong,Hong Kong,Hong Kong,2024
MULT,SCOPUS_ID:85209362212,2-s2.0-85209362212,"A rapid, affordable, and reliable method for profiling microbiome biomarkers from fecal images",Lee D.,iScience,2024-12-20,10.1016/j.isci.2024.111310,0,Horaizon BV,Delft,Netherlands,2024
MULT,SCOPUS_ID:85209354018,2-s2.0-85209354018,Linking new information to a short-lasting memory trace induces consolidation in the hippocampus,Soliani A.G.,iScience,2024-12-20,10.1016/j.isci.2024.111320,0,Universidade Federal de São Paulo,Sao Paulo,Brazil,2024
MULT,SCOPUS_ID:85209351040,2-s2.0-85209351040,The role of the tricellular junction protein ILDR2 in glomerulopathies: Expression patterns and functional insights,Siegerist F.,iScience,2024-12-20,10.1016/j.isci.2024.111329,0,Universitätsmedizin Greifswald,Greifswald,Germany,2024
MULT,SCOPUS_ID:85209248949,2-s2.0-85209248949,Evaluating chemical effects on human neural cells through calcium imaging and deep learning,Ku R.Y.,iScience,2024-12-20,10.1016/j.isci.2024.111298,0,"Children's Research Institute, Children's National Medical Center","Washington, D.C.",United States,2024
MULT,SCOPUS_ID:85209248294,2-s2.0-85209248294,Gene expansion in the hawkmoth Manduca sexta drives evolution of food-associated odorant receptors,Tom M.T.,iScience,2024-12-20,10.1016/j.isci.2024.111317,0,Max Planck Institute for Chemical Ecology,Jena,Germany,2024
MULT,SCOPUS_ID:85209237986,2-s2.0-85209237986,Mesenchymal GDNF promotes intestinal enterochromaffin cell differentiation,Lemmetyinen T.T.,iScience,2024-12-20,10.1016/j.isci.2024.111246,0,Helsingin Yliopisto,Helsinki,Finland,2024
MULT,SCOPUS_ID:85209233273,2-s2.0-85209233273,Optimization strategy of the emerging memristors: From material preparation to device applications,Gou K.Y.,iScience,2024-12-20,10.1016/j.isci.2024.111327,0,Central South University,Changsha,China,2024
MULT,SCOPUS_ID:85209231159,2-s2.0-85209231159,"Oropharyngeal resistome remains stable during COVID-19 therapy, while fecal resistome shifts toward a less diverse resistotype",Starikova E.V.,iScience,2024-12-20,10.1016/j.isci.2024.111319,0,Research Institute for Systems Biology and Medicine,Moscow,Russian Federation,2024
MULT,SCOPUS_ID:85209153495,2-s2.0-85209153495,The gut microbiota confers resistance against Salmonella Typhimurium in cockroaches by modulating innate immunity,Turner M.,iScience,2024-12-20,10.1016/j.isci.2024.111293,0,Sanford School of Medicine,Sioux Falls,United States,2024
MULT,SCOPUS_ID:85209146669,2-s2.0-85209146669,Sequential decision-making under uncertainty for long-term energy transition planning,McDonald M.A.,iScience,2024-12-20,10.1016/j.isci.2024.111288,0,School of Engineering and Applied Science,Princeton,United States,2024
MULT,SCOPUS_ID:85209146565,2-s2.0-85209146565,Agarose hydrogel-mediated electroporation method for retinal tissue cultured at the air-liquid interface,Stone M.L.,iScience,2024-12-20,10.1016/j.isci.2024.111299,0,Vanderbilt University School of Medicine,Nashville,United States,2024
MULT,SCOPUS_ID:85209146407,2-s2.0-85209146407,"The impact of a ketogenic diet on weight loss, metabolism, body composition and quality of life",Hirschberger S.,iScience,2024-12-20,10.1016/j.isci.2024.111291,0,Klinikum der Universität München,Munich,Germany,2024
MULT,SCOPUS_ID:85209145119,2-s2.0-85209145119,Leveraging Vγ9Vδ2 T cells against prostate cancer through a VHH-based PSMA-Vδ2 bispecific T cell engager,King L.A.,iScience,2024-12-20,10.1016/j.isci.2024.111289,0,Amsterdam institute for Infection and Immunity,Amsterdam,Netherlands,2024
MULT,SCOPUS_ID:85209141200,2-s2.0-85209141200,"CerviFusionNet: A multi-modal, hybrid CNN-transformer-GRU model for enhanced cervical lesion multi-classification",Sha Y.,iScience,2024-12-20,10.1016/j.isci.2024.111313,0,Macao Polytechnic University,Macau,Macao,2024
MULT,SCOPUS_ID:85209130712,2-s2.0-85209130712,Broad and diverse roles of sphingosine-1-phosphate/sphingosine-1-phosphate receptors in the prostate,Liu D.,iScience,2024-12-20,10.1016/j.isci.2024.111290,0,Zhongnan Hospital of Wuhan University,Wuhan,China,2024
MULT,SCOPUS_ID:85209128199,2-s2.0-85209128199,Novel terahertz optical switch based on PIT phenomenon and Lorentz theory,Zhu J.,iScience,2024-12-20,10.1016/j.isci.2024.111301,0,Suzhou University of Science and Technology,Suzhou,China,2024
MULT,SCOPUS_ID:85209127191,2-s2.0-85209127191,From sampling to simulating: Single-cell multiomics in systems pathophysiological modeling,Manchel A.,iScience,2024-12-20,10.1016/j.isci.2024.111322,0,Thomas Jefferson University,Philadelphia,United States,2024
MULT,SCOPUS_ID:85209121686,2-s2.0-85209121686,Clustering of TP53 variants into functional classes correlates with cancer risk and identifies different phenotypes of Li-Fraumeni syndrome,Montellier E.,iScience,2024-12-20,10.1016/j.isci.2024.111296,0,Université Grenoble Alpes,Saint Martin d'Heres,France,2024
MULT,SCOPUS_ID:85209119854,2-s2.0-85209119854,TLX3 regulates CGN progenitor proliferation during cerebellum development and its dysfunction can lead to autism,Parvathy S.,iScience,2024-12-20,10.1016/j.isci.2024.111260,0,University of Kerala,Thiruvananthapuram,India,2024
MULT,SCOPUS_ID:85209115305,2-s2.0-85209115305,Molecular details and phosphoregulation of the CENP-T-Mis12 complex interaction during mitosis in DT40 cells,Takenoshita Y.,iScience,2024-12-20,10.1016/j.isci.2024.111295,0,Osaka University,Suita,Japan,2024
MULT,SCOPUS_ID:85209113818,2-s2.0-85209113818,Dietary caloric restriction protects experimental autoimmune uveitis by regulating Teff/Treg balance,Li Z.,iScience,2024-12-20,10.1016/j.isci.2024.111279,0,Sun Yat-Sen University,Guangzhou,China,2024
MULT,SCOPUS_ID:85209106717,2-s2.0-85209106717,A lysosome-targeted fluorescent probe with large Stokes shift for visualizing biothiols in vivo and in vitro,Zhao T.,iScience,2024-12-20,10.1016/j.isci.2024.111334,0,Hubei University,Wuhan,China,2024
MULT,SCOPUS_ID:85209100686,2-s2.0-85209100686,A computational model to design wide field-of-view optic nerve neuroprostheses,Romeni S.,iScience,2024-12-20,10.1016/j.isci.2024.111321,0,École Polytechnique Fédérale de Lausanne,Lausanne,Switzerland,2024
MULT,SCOPUS_ID:85209097685,2-s2.0-85209097685,Circuit mechanism underlying fragmented sleep and memory deficits in 16p11.2 deletion mouse model of autism,Choi A.,iScience,2024-12-20,10.1016/j.isci.2024.111285,0,University of Pennsylvania Perelman School of Medicine,Philadelphia,United States,2024
MULT,SCOPUS_ID:85209088109,2-s2.0-85209088109,Soft wearable thermo+touch haptic interface for virtual reality,Lee S.,iScience,2024-12-20,10.1016/j.isci.2024.111303,0,Korea University,Seoul,South Korea,2024
MULT,SCOPUS_ID:85209077848,2-s2.0-85209077848,A transcriptome-based risk model in sepsis enables prognostic prediction and drug repositioning,Long Q.,iScience,2024-12-20,10.1016/j.isci.2024.111277,0,Xiang'an Hospital of Xiamen University,Xiamen,China,2024
MULT,SCOPUS_ID:85209066873,2-s2.0-85209066873,"Graded calls of the smallest terrestrial mammal, the Etruscan shrew, living in a closed habitat",Langehennig-Peristenidou A.,iScience,2024-12-20,10.1016/j.isci.2024.111297,0,Tierärztliche Hochschule Hannover,Hannover,Germany,2024
MULT,SCOPUS_ID:85209066800,2-s2.0-85209066800,Investigations on full-Heusler alloys Mn<inf>2</inf>TaAl and Mn<inf>2</inf>WAl for spintronic and thermoelectric applications,Wei X.P.,iScience,2024-12-20,10.1016/j.isci.2024.111257,0,Lanzhou Jiaotong University,Lanzhou,China,2024
